hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
9c,3c,4c,Jc,5c,4h,Jd,0.4445,0.824
3s,Jc,8s,3c,5h,4d,Qc,0.434,0.443
As,2s,5d,Js,8c,7s,5h,0.587,0.381
2h,8s,7s,6d,3h,Js,Jd,0.3595,0.0395
Ks,7h,5c,Td,8s,5d,9h,0.555,0.2915
Td,Ts,6s,3h,2d,9s,Qs,0.736,0.7335
As,Th,Qs,7c,Ah,5d,Qc,0.618,0.8875
Jd,Kc,Kd,Qd,6h,Js,8h,0.615,0.944
5d,2c,3s,4h,Kc,5h,9d,0.3695,0.59
Ts,5s,9s,Kc,5c,7d,As,0.5005,0.4725
6c,Jh,Ks,Kc,2d,5c,9s,0.4985,0.2485
2s,8c,5h,7h,9h,Ks,3s,0.367,0.034
Ks,4d,Td,8s,Qd,Ad,4c,0.551,0.43
6c,9h,4c,Jd,Kc,5d,Jc,0.4165,0.156
Qd,4s,Kc,6h,2d,Qs,9c,0.4725,0.75
Ts,5d,Kc,Kd,5c,As,Qc,0.448,0.558
6s,5s,Ah,7s,7h,Ks,9s,0.433,0.941
4d,Jh,2d,8s,9d,Qc,9c,0.4585,0.254
4h,4c,6d,5h,Qd,Kh,Kc,0.562,0.5435
5h,3d,Tc,Qc,6h,9s,9c,0.387,0.04
Ad,Qs,2s,Td,Ac,4d,8h,0.666,0.8805
Td,Qd,9s,7d,Tc,8s,6h,0.558,0.412
Kd,9c,Tc,Ah,4d,8d,7c,0.5705,0.317
8c,7c,Ks,8d,Ad,Th,3h,0.497,0.523
Jh,8h,Kh,3c,9d,5d,Tc,0.5275,0.1925
Kc,Ts,9c,Jd,5s,4s,3s,0.599,0.2355
Qh,Qs,7s,8d,Kd,8c,6c,0.797,0.7225
7d,Qs,4c,Ac,5d,3d,Js,0.5045,0.1535
Js,6c,6s,Qh,Ts,9d,7c,0.464,0.3535
Jh,Th,Ks,4c,9s,Qd,3s,0.5735,0.9435
6c,4s,Kc,2d,6d,4c,Th,0.3685,0.924
Qs,Js,8h,5s,7c,6s,6h,0.602,0.1195
5d,As,Kd,2s,4d,3h,9d,0.5675,0.9435
8d,7d,Qs,2c,Kh,5s,8h,0.4955,0.6445
8d,4s,Th,9h,8c,8s,2d,0.4155,0.9155
4s,4d,9h,Th,Tc,9d,Ad,0.588,0.34
5h,2s,8d,Jh,Ac,5d,7d,0.3375,0.3825
9h,2s,7d,Kh,6h,5s,8s,0.3775,0.934
Js,Kh,4h,7d,2s,8d,7c,0.625,0.375
4c,5s,7c,2c,8h,2d,Kd,0.366,0.0365
8c,Ts,5s,3c,Td,9d,6c,0.487,0.8105
Tc,5h,Qd,Ah,3d,Td,5s,0.4535,0.8835
Ah,Qd,8d,Kc,7s,6s,3s,0.6455,0.3215
4h,2d,Ks,9s,5s,6d,7s,0.3445,0.0055
Qd,Kd,6c,Ah,8h,9d,Qc,0.654,0.7505
Ad,3d,Ks,8h,8s,Jd,7d,0.574,0.442
Kc,Jd,8s,Qd,2d,6s,Ts,0.6095,0.239
Qs,7h,As,4d,3d,Qh,8h,0.506,0.7765
Qs,Ac,5h,7c,2c,8c,Qc,0.649,1.0
2s,Qs,6d,9s,7s,6h,Ac,0.4705,0.3205
6c,7d,8h,As,Jd,3s,9s,0.4035,0.0955
2h,5h,5c,7s,4s,3d,Th,0.375,0.4855
5h,Jc,Kd,Th,2h,Qd,8s,0.4685,0.2415
Td,2c,Ks,9s,Ac,Ts,4s,0.4155,0.3955
2c,9s,7h,2d,4s,Qs,Qh,0.3905,0.5915
Qc,9d,Kc,8s,Jd,Qs,Td,0.566,0.7775
7d,8h,Jc,4s,3c,3s,4d,0.435,0.146
6c,4d,8h,3d,2h,4s,3h,0.366,0.6385
7c,7d,8s,3s,9s,4d,Kd,0.669,0.555
2s,Ac,2h,8c,7c,Tc,Qs,0.5525,0.4295
9h,3c,Js,Qs,Ts,Td,Tc,0.3995,0.184
2d,2s,Jh,Ad,4d,As,Kc,0.514,0.499
2d,Ac,6c,Js,4d,6s,7c,0.54,0.4295
Kh,3h,Jc,7s,9c,Qs,8d,0.54,0.1515
Jh,Kd,As,Kh,9s,5s,Jc,0.605,0.907
Jh,8h,Kh,3d,Ad,8c,7d,0.556,0.66
2d,2s,9h,5h,6s,Ks,7c,0.5085,0.264
5s,Th,7h,Ac,4s,3d,4d,0.452,0.1325
5c,7h,2h,5h,6d,Kc,Jd,0.429,0.5115
5s,Kh,9h,Qc,8s,5d,2h,0.536,0.556
4s,2d,Ah,6d,As,3d,7c,0.3285,0.0055
6d,Jc,4h,4s,2h,8h,As,0.459,0.217
2s,7d,2h,4s,5s,4h,8h,0.356,0.471
Ts,6c,2c,Jc,7h,Ah,3c,0.4745,0.149
Ts,2s,Td,2d,8d,Qc,9c,0.446,0.723
Qc,5d,9s,6d,2h,Jh,7c,0.506,0.136
Jh,3d,9c,6c,5c,Qh,Jd,0.4685,0.6615
Js,6d,5s,Qc,Kh,8s,4d,0.458,0.2475
5c,9h,Jc,Ad,3d,Kd,Qd,0.454,0.145
Qh,5h,Ac,4c,Ks,4s,3s,0.515,0.417
2s,6d,4h,6h,Jc,2h,Jh,0.334,0.5115
7s,5c,6d,6h,7c,Ac,3h,0.403,0.6765
6d,Jc,5s,Qd,As,4d,Jd,0.483,0.627
2d,Th,Jc,Ac,Qh,9d,3c,0.406,0.211
Js,7s,6h,Jd,Td,9c,4s,0.5165,0.7945
3s,7d,4d,Js,Kd,2h,4h,0.354,0.0645
5c,Qh,4s,3s,As,5h,9h,0.4835,0.468
Jc,Tc,7d,9d,7h,Ad,6c,0.5745,0.2515
6h,6s,Qd,6d,9h,Jd,3d,0.6315,0.611
4s,6s,8h,5c,Kc,9s,4c,0.423,0.425
3d,3h,Jd,9h,4h,Ah,Qd,0.5565,0.3575
3c,6c,4h,3h,8h,2c,Jd,0.3995,0.477
2h,As,7c,8h,3s,9d,4d,0.562,0.263
Qd,9c,Kd,Kh,Th,As,Jc,0.5535,0.9195
7d,5c,2d,4c,9s,5h,6c,0.422,0.522
Ac,Qh,5c,Td,8s,3c,Ah,0.654,0.893
8c,Kc,Qc,2c,Ks,3s,6c,0.5865,0.994
2c,7h,9d,9c,2s,8s,Qc,0.357,0.5825
Ad,Js,3d,4h,Qc,8d,8s,0.636,0.515
8c,2h,8d,Qs,Ks,7d,2s,0.344,0.867
6h,Kh,2h,Qc,Kc,Kd,2c,0.593,0.9755
Jh,Jd,Qd,Ah,8s,7d,4h,0.7665,0.708
9d,7c,7h,9c,Tc,7d,2d,0.459,0.9915
9s,3s,5d,Qd,Jh,Jd,Js,0.435,0.244
2h,As,Ac,9d,Qh,Ad,Ts,0.5565,0.935
8s,9h,3h,3d,6s,Ts,4d,0.4955,0.096
2d,9d,7d,6c,Ks,4h,5d,0.425,0.003
2d,3s,6c,7d,Js,5c,Ac,0.324,0.008
As,Td,6h,2h,2d,5s,Qc,0.616,0.469
Tc,Js,As,6c,Ac,2c,8s,0.559,0.272
Qh,2d,As,Ah,Th,3c,Ac,0.4625,0.485
8c,4c,9c,8h,9d,6c,Ts,0.3875,0.5465
6d,Ac,7c,Ks,3h,6c,Js,0.564,0.566
6s,Ah,4h,As,6d,Qs,Jc,0.5675,0.965
Qh,Jd,2s,Kh,Js,Qd,4c,0.579,0.9195
4s,3c,7h,2d,7c,5h,Td,0.3525,0.0055
7s,8h,3s,5s,5h,4s,6s,0.467,1.0
Ks,Tc,4s,9s,Qh,5c,5s,0.6065,0.3615
2s,6h,5c,7h,3s,Kh,Js,0.35,0.012
4h,4c,Jc,Kc,Ks,6h,6c,0.564,0.2115
Tc,7h,4h,Ks,2h,3d,8c,0.47,0.1045
8d,Th,Jc,Kd,Td,9c,2s,0.4955,0.509
Jd,8h,Qd,5s,Qh,2d,Tc,0.5225,0.263
Jd,Tc,9d,Jc,2d,Kd,5s,0.535,0.742
8h,5h,6d,Qd,4h,Kd,4d,0.452,0.0605
3h,4c,8h,Jh,Kc,Td,Kd,0.3345,0.106
Jd,Ad,8h,5s,Ac,9h,2d,0.6485,0.856
As,3c,4d,9s,8c,Td,7d,0.563,0.1515
7d,4d,8d,7s,Ad,Jc,9c,0.4265,0.3545
4c,Jd,Kh,3d,5h,Jh,Ah,0.463,0.357
6c,3h,9h,6d,Ts,Jd,4s,0.347,0.524
7c,9d,5d,Tc,Ah,7d,Ks,0.4635,0.565
2s,Jc,Th,4d,6h,Kc,Tc,0.421,0.255
Kd,As,7s,Ah,Jh,Jc,Qs,0.672,0.8805
5d,8s,Td,Ks,2d,6c,Kd,0.425,0.0915
8h,9s,3d,Jh,4s,7s,2d,0.4735,0.043
6h,9s,4s,5c,7s,Td,Qd,0.4185,0.0865
7h,7d,5h,9h,5s,Kd,2c,0.684,0.649
Th,2s,As,Js,Ts,8d,Ks,0.399,0.684
7c,2h,9s,4c,3c,7s,2s,0.3465,0.8715
Tc,Qd,Qs,3h,2h,2c,Ac,0.5595,0.7365
Th,Jc,Qd,Qs,Kc,5d,9h,0.5195,0.9675
2c,5h,4c,2d,7d,4s,Ad,0.3645,0.535
6s,Kc,As,Jd,3s,Ad,7c,0.501,0.4595
7h,7d,6d,6c,4c,9c,2s,0.648,0.668
Js,Kh,3h,Ah,Ad,Ks,2c,0.6015,0.8935
Ad,8s,2h,Qc,Kc,Jc,Qh,0.596,0.424
Th,7d,4c,Jd,9d,2d,8c,0.491,0.9365
9h,5s,Qc,Ks,2h,Kc,4h,0.4105,0.1515
4h,Kh,9c,Kc,6h,7s,8h,0.57,0.544
Qc,7s,Qh,5d,Ks,9d,9c,0.512,0.72
6d,5h,9c,Td,2h,9s,4c,0.381,0.025
2c,As,8h,Jc,2h,Kc,Td,0.566,0.425
8d,5h,Th,Qh,Ac,Td,9h,0.4325,0.1415
Qc,Ad,2c,8d,Ks,2d,2s,0.6535,0.59
Ks,Jc,9h,Kd,3h,8s,Qs,0.621,0.872
Ac,4d,Qc,4h,8c,6d,Ad,0.5445,0.9495
5d,8d,8h,7d,2d,5c,Jc,0.4395,0.8925
8d,9c,8s,8h,5h,Ac,5c,0.4815,0.974
Qs,2h,9s,7d,Ah,4h,5d,0.4925,0.2035
Qd,8c,Ac,5s,Qs,As,2h,0.5525,0.792
6c,Th,2c,Qd,2s,3d,3h,0.4515,0.2005
9h,8d,Jh,Ah,4d,7c,4s,0.459,0.1795
6s,3h,2d,4c,Jh,7c,5s,0.351,0.9865
Ad,Ts,4s,6c,6h,Qs,8s,0.619,0.44
Kc,8d,Qc,7d,2s,9h,5d,0.5445,0.2525
Kh,Qs,Ad,5s,As,4d,2s,0.6095,0.3555
4h,3s,2d,8d,2c,Kd,Qh,0.3475,0.0595
Th,Qh,5h,6s,9d,Td,2h,0.5885,0.8515
As,8h,4h,Jd,4d,4c,5c,0.5785,0.581
Ad,9h,Js,Qc,Ah,3d,Qh,0.607,0.834
Js,3h,8s,4h,7c,Ts,6s,0.446,0.0205
Jd,9s,Kh,4h,6h,8d,7s,0.5245,0.104
6s,3d,Kc,6d,Kd,7d,5c,0.3685,0.5765
Kd,8h,7s,Ah,Td,4h,3s,0.5315,0.331
8d,Ad,2s,3c,5s,Qc,Ts,0.6055,0.3065
Qs,4h,Ts,6d,As,Ac,Th,0.483,0.5985
5c,Kc,Ad,Qc,Jh,Ks,4h,0.5455,0.644
5h,Qh,Jh,3c,8s,Kc,5d,0.524,0.5665
Kh,9d,Qd,8d,4c,7d,3h,0.5675,0.231
Js,5s,8h,3s,6d,3h,2c,0.494,0.122
Jh,4h,2c,8c,3s,Kh,3c,0.52,0.2235
Qc,6c,Qh,7d,5h,8h,Th,0.527,0.4545
6c,As,Ac,Ad,Td,4d,2d,0.5405,0.606
5d,9s,7d,5h,2h,Ad,Ac,0.4385,0.727
3s,5h,Ac,3c,4h,2d,4d,0.373,0.902
Jh,Ac,3s,6d,8s,3d,3h,0.6565,0.618
2h,Qc,Kh,3s,Qd,Jc,Ad,0.489,0.538
9s,3s,Kd,9d,Qs,7d,Ts,0.4235,0.4145
4s,9s,2s,Kc,Kh,Js,Tc,0.4525,0.2425
6c,6s,2h,As,9h,3d,8s,0.61,0.575
4c,6c,Qc,2h,Qd,7d,Qs,0.412,0.052
8s,3d,9d,4s,Ks,Js,Jh,0.359,0.1615
4h,Ah,Ac,2c,Qd,Ts,9d,0.554,0.837
Ah,Jh,Ac,8h,8s,9s,Qc,0.6505,0.838
Js,Kh,Qs,Ah,2c,Qd,Qh,0.6,0.6105
3h,8d,Ks,4h,6s,5c,Ac,0.366,0.022
7h,5s,8c,Jh,2d,6d,Jd,0.381,0.055
2d,3s,Th,9s,7c,Kh,3d,0.313,0.387
2d,4s,9d,Ad,Th,6d,6c,0.348,0.096
Ah,6s,Js,9c,4s,5c,7s,0.5855,0.2805
5h,Qd,8s,7s,Qs,4d,Js,0.4915,0.497
4s,9d,Qc,Ad,2s,As,6h,0.421,0.171
Ad,Kh,Jd,8s,Ac,Kc,9d,0.6455,0.9585
4s,Qd,Kh,Jh,8h,2h,Js,0.502,0.184
7d,7s,Tc,2d,8c,Qs,Kc,0.647,0.459
Ah,Ts,Kh,6s,8d,Qs,Kc,0.6235,0.503
Ah,4s,6h,4c,Kc,9d,4h,0.5455,0.984
5h,4s,Tc,9s,5s,6h,8c,0.3945,0.3215
Th,Kd,Ad,4d,Qh,2s,7h,0.5835,0.37
Js,Kh,5d,As,Th,3d,8c,0.585,0.3775
Qs,5s,Td,Ad,Th,9h,Qc,0.5235,0.678
7s,Ts,2s,3h,9s,5s,Qd,0.5285,0.981
9h,5s,4s,5c,6d,Kc,2c,0.418,0.422
6h,5c,5s,7c,Ks,4c,3d,0.3855,0.918
3d,Js,3h,Qd,9d,4h,9s,0.4365,0.6045
Kd,7c,4h,7d,Qs,Jh,7s,0.5615,0.976
Jh,5c,Kc,3s,Ah,8s,Jd,0.468,0.654
2c,Tc,Qh,3h,4d,7c,Qc,0.4495,0.141
9h,Tc,Qh,Th,Ah,6c,6s,0.522,0.5825
Kd,Td,Jc,Th,As,Ts,2s,0.6255,0.93
Kd,5h,7c,Kc,3c,Ts,3h,0.5285,0.7915
6s,Ts,7s,4c,Tc,8s,Kh,0.483,0.6845
5d,Kc,Jh,7h,6h,8s,Qs,0.523,0.192
9d,Js,7d,8h,2s,Qs,Jc,0.534,0.766
Ks,6c,8h,6h,8d,3h,3c,0.5335,0.736
Ah,Jc,6d,4s,4h,Kd,9h,0.6385,0.5025
4h,5h,7c,5s,Js,5d,2s,0.4235,0.906
Ah,6d,8h,2s,Jd,Kc,8d,0.5435,0.464
Td,Jh,6d,5c,Qh,Ts,Kh,0.5505,0.6695
7d,Qd,Ks,2h,2s,4s,4h,0.502,0.2425
Ad,Jc,Js,Qh,5s,Ah,2c,0.643,0.952
As,4s,Jd,7c,Jc,Kd,8h,0.5885,0.4205
8d,Th,2d,8c,Qc,3s,Kh,0.4925,0.6895
Tc,3s,6s,8h,As,9h,5h,0.4255,0.0615
3s,9d,Js,4s,Qd,Qs,2c,0.405,0.158
4c,Ks,6h,Qh,Js,9h,7s,0.5215,0.1945
Ks,Jd,Kh,8h,6s,7d,7c,0.612,0.833
8c,2s,4d,7d,Kh,Jd,3s,0.372,0.026
Ad,5h,Td,Qc,4d,Ah,3h,0.5935,0.821
6h,3s,2h,8h,Ts,3c,9h,0.387,0.449
Ac,6c,7h,Qc,Jd,Ks,2h,0.5755,0.319
7d,Ac,6h,3d,Kc,7h,5d,0.5785,0.6165
3d,Ks,8h,Qc,Kh,Ts,2s,0.5095,0.8465
Ac,Qh,3s,Jd,9h,9s,4d,0.6305,0.476
Ts,8c,6h,9s,4s,5s,Jd,0.4775,0.0995
2h,4c,Jh,5c,9d,Qs,Ac,0.3425,0.0185
3d,2c,8c,Ac,Qd,8d,Jc,0.3375,0.174
Ks,Th,3h,Kd,6s,8s,Ac,0.621,0.809
Jd,Qs,8c,4s,8h,Kd,6c,0.5655,0.393
8d,Jc,7c,5s,Th,5d,Ah,0.508,0.243
6s,3h,6h,9s,Ac,Ad,4h,0.3495,0.7095
3c,7s,Qs,Ac,8h,4h,2d,0.355,0.0355
Qc,5c,6h,Kd,Qs,3s,Td,0.555,0.717
5d,4h,Ah,6d,6c,Tc,7s,0.377,0.033
4c,Js,6c,3h,Tc,Qd,Jd,0.464,0.71
4c,8c,Th,8h,7s,8d,2s,0.4365,0.924
Th,6c,5h,4c,4s,Ad,4d,0.479,0.2475
7h,6c,2s,Kh,9d,5s,3s,0.438,0.0145
2h,5c,Qc,2s,Ad,3h,5s,0.3315,0.7835
8c,7h,7c,Ad,5c,Jh,3s,0.444,0.624
3c,5c,8d,9c,Js,Qh,5s,0.3985,0.3275
Kh,Jd,Qh,4s,6d,5c,6c,0.578,0.3565
5s,6d,9d,2s,Th,Jd,Qd,0.3925,0.049
Ts,9c,Js,Ks,3d,Jd,2d,0.511,0.2745
Ah,2d,4s,2s,7c,Kc,Kh,0.557,0.5955
8c,6s,Ac,4c,Kc,4s,Ts,0.442,0.1425
9c,9d,6d,7c,3h,6h,Jc,0.7125,0.741
Qh,7h,6s,Kc,3s,Kh,Th,0.542,0.356
4s,9h,5h,Kc,4h,7s,Jh,0.4305,0.412
8h,9c,5d,2s,Ad,5h,7s,0.4745,0.11
3s,5s,9c,Qs,3d,8c,2d,0.402,0.5325
8c,3h,8d,4s,5h,3s,2d,0.4115,0.641
8d,2s,Js,Ks,8c,4s,Jc,0.3685,0.6775
Ts,5s,9h,8s,3s,4s,Ad,0.427,0.977
3h,5h,Kc,2c,Qh,9c,5d,0.3945,0.502
3c,Js,7d,2d,Qs,Jc,9c,0.445,0.7085
Ad,Jd,Ac,8s,7d,4c,8c,0.6215,0.8295
3s,9c,5c,3h,2h,Js,5d,0.3925,0.6435
5s,8c,Td,4s,4d,2d,8d,0.4265,0.416
Ts,Qs,Qh,Jh,3h,Qd,2d,0.602,0.9325
9s,Ad,4d,Js,2s,7d,Kc,0.601,0.3565
2h,2c,9s,Jc,7h,3d,Jd,0.506,0.4965
Qd,7s,8d,4c,6c,2d,Ac,0.5425,0.192
8s,Kh,Qh,6h,Ks,Td,5s,0.5715,0.848
7s,Ac,9c,Td,6d,Jd,7c,0.5805,0.443
8d,7c,2s,Qh,Ah,4c,Jh,0.4515,0.098
5c,7s,3h,Kh,As,9c,6c,0.395,0.06
Th,Ts,3s,Jd,8h,3h,4s,0.7515,0.7855
Qd,5d,2d,9h,Tc,7s,4s,0.547,0.1355
Ad,Ks,8h,Ac,8d,5c,2c,0.648,0.8615
5s,Tc,5h,7c,7s,8c,3c,0.4325,0.644
Qd,4c,3h,3s,8s,9c,6s,0.4805,0.1865
9h,Kc,Tc,Td,Ad,2c,8s,0.6055,0.47
3s,4h,7c,6d,5h,2d,8s,0.3615,0.755
Th,Ad,9s,6s,4c,4d,Td,0.6555,0.86
Ks,7h,4s,8c,5c,5h,9d,0.547,0.3475
Td,7c,8s,8d,2c,3d,Qs,0.4955,0.1785
7s,Jd,8c,Jc,Th,As,2d,0.4865,0.6975
4h,Td,Qc,Tc,Jd,Ah,3c,0.4425,0.424
2c,5d,Qs,5s,6c,Ts,Ks,0.3625,0.25
8c,6c,Ac,Kd,Ks,2d,9d,0.4725,0.1705
4s,4c,6d,Th,4h,Qs,6h,0.589,0.97
2c,Jc,Tc,Qd,3h,2h,3c,0.4755,0.575
5c,Ad,2d,Jc,Td,Kd,As,0.571,0.6665
Kd,2c,Ah,4s,Js,7d,6c,0.52,0.2825
8h,Tc,Qd,5s,Qc,9s,Ah,0.4585,0.2655
2d,3h,8s,5d,7d,8d,9h,0.3045,0.0185
Qd,3d,Kc,Kd,Qs,Ts,7s,0.506,0.756
8h,7s,Qh,4s,6h,2h,Qd,0.461,0.0435
8c,Qh,3s,3d,Js,9h,Ad,0.516,0.3625
8h,Qc,Ad,Ac,Jd,As,8c,0.54,0.7615
Jc,3c,9s,Js,5c,Kh,2c,0.495,0.7225
2s,3h,3c,4s,Ts,7s,3s,0.351,0.644
2c,8d,Qc,9c,Kc,Kd,6h,0.374,0.1655
Ac,3c,6s,4s,Qc,3h,Kh,0.5695,0.465
7s,7c,As,4s,9h,7h,6d,0.671,0.944
Tc,Kd,3h,3s,9c,9s,5s,0.6065,0.4445
6s,6d,Qc,5d,3c,Ah,Kd,0.618,0.5655
2d,Kc,8s,4d,Qh,5s,Kh,0.5515,0.8365
Ks,Ad,Ah,4h,9h,9c,5c,0.6535,0.8435
Ah,Jd,Jc,Ac,9d,Js,6s,0.64,0.9995
2d,7c,2h,6h,Th,Jc,7s,0.354,0.861
7s,Qh,6h,Th,Jc,Ts,As,0.5195,0.374
3s,Kc,6c,8s,Jh,Qh,5d,0.526,0.177
6c,Tc,Kc,Td,2c,9h,3h,0.488,0.712
3c,Th,As,5d,7d,2h,5h,0.43,0.1425
Ad,8d,Tc,4s,6s,9h,Kd,0.599,0.36
Tc,Jc,5d,Ah,7h,Ks,2h,0.5375,0.253
8h,7h,Th,5s,Ts,2s,Jh,0.473,0.1005
Js,Qh,4c,Qd,3d,2c,3c,0.5975,0.7865
9d,Kd,5h,4c,2d,Ah,4h,0.5945,0.333
9s,6d,Qs,Kh,5d,As,Ks,0.441,0.2545
8s,8h,9d,Qh,6c,3s,9s,0.6835,0.776
8c,8d,3c,Qd,Td,2c,5s,0.6965,0.661
Qs,8c,3c,9h,2s,4d,Qh,0.539,0.8305
Jc,As,5h,3c,4h,Qd,Th,0.655,0.322
Kc,8s,4h,Jc,5c,5h,Kh,0.568,0.7725
8d,8c,5h,Ah,5c,4c,Qc,0.689,0.5995
Td,Tc,9h,Qc,8s,Ac,4d,0.729,0.6945
9c,Ts,6d,4h,Jd,7d,8d,0.5195,0.632
Qs,5d,9h,7c,Jh,3h,3d,0.502,0.232
7h,Ah,Ad,2h,7s,Js,2c,0.5895,0.8905
5h,9s,8c,3c,Qs,4d,4c,0.451,0.1055
Ac,Td,Jh,Qh,8c,7h,2c,0.6205,0.322
5d,8c,Qh,7s,Ah,Kc,Ad,0.442,0.1605
2s,Kh,4h,Jh,8s,6s,7d,0.502,0.145
4h,Jh,2c,Kh,4c,9s,3s,0.519,0.6335
9h,Tc,Jh,2d,3h,8s,Jc,0.5075,0.224
Qc,Jh,7c,5c,Qh,6c,4s,0.5675,0.5215
Ad,Jc,3d,Td,As,9h,Jd,0.632,0.911
9c,6d,4c,As,8h,Td,7c,0.473,0.9765
Qh,Kh,8c,5s,2c,9d,4d,0.609,0.271
7h,5c,2c,7d,Qc,4c,Tc,0.4105,0.715
Qc,3s,Td,5s,7s,2c,2s,0.4695,0.2085
As,6s,Jd,4h,8d,Ks,Jc,0.5875,0.4615
Qs,7d,2d,Qd,Kc,6c,9d,0.511,0.7275
Qc,2c,Jd,2h,Js,9c,9h,0.5435,0.472
Qs,Qd,2c,Js,8s,Qc,5c,0.796,0.927
8c,Th,Tc,3d,6s,Ac,Qc,0.5145,0.641
4d,6s,Ac,Ah,7d,2d,7h,0.387,0.107
3c,4c,3h,5c,8h,5s,Js,0.392,0.601
2s,6c,Qh,8d,4h,6d,9h,0.345,0.4935
Kd,7d,9h,7h,Js,6c,9c,0.569,0.736
5s,7d,9h,3c,4d,Kh,Ad,0.4255,0.0345
9s,Qh,6s,6d,Ac,5d,3d,0.5335,0.3065
Qc,2s,6c,Jd,Qh,Qd,7d,0.472,0.9015
9d,Ks,6d,Ad,Ac,Qc,2s,0.5645,0.495
Kc,6c,Jh,4h,8s,Jc,Js,0.5375,0.493
Js,Jh,2d,Jd,4h,6h,Qs,0.7715,0.983
5s,2d,5d,Qd,Ad,7c,4c,0.341,0.4785
5s,4d,7d,2c,Qs,Ad,7s,0.3745,0.0305
Jc,4s,8c,8d,8s,Td,7c,0.4195,0.2335
Jd,6s,2c,Ad,5d,6d,6c,0.4855,0.928
Ts,Th,4s,As,2h,Tc,4c,0.734,0.995
6s,3s,Qc,8d,5h,4s,2c,0.386,0.9775
6d,Kd,Js,6c,9s,Ad,Ah,0.5665,0.6635
8s,8d,7s,5h,6c,Ks,As,0.7155,0.6445
Th,5h,8c,9c,Kd,3c,9d,0.489,0.1455
5d,7c,Ac,Jc,6d,4d,Th,0.4105,0.0635
4h,Kd,Qh,9h,Ah,2d,3s,0.5335,0.272
3c,4h,Ac,8s,4c,2h,7h,0.375,0.5065
5c,Kd,Tc,2s,7c,4h,6c,0.5165,0.1825
5c,3d,2d,Qs,4h,4d,8s,0.3505,0.002
As,9c,8s,Qc,5d,2s,4c,0.596,0.3025
2c,4h,2d,Kd,6s,Th,Tc,0.335,0.5745
2c,7h,5d,3c,6s,Ad,8d,0.3445,0.0045
3s,Kc,Qh,7h,2d,4s,3c,0.5255,0.515
Th,7c,8h,5d,3s,4d,Ts,0.481,0.7765
Kh,Qd,5s,Kd,Ad,6s,2h,0.6105,0.8135
3d,2s,5h,3s,9c,5s,Qc,0.336,0.5795
2d,5d,8c,Qh,3d,Ac,Qc,0.3915,0.01
5d,Ad,8d,Qs,8h,9h,5h,0.596,0.5625
6s,7s,9h,4h,8c,Jc,6c,0.442,0.4815
7d,7c,6h,2s,Qc,6d,8d,0.6775,0.622
Qs,Ks,9s,3s,5h,Kc,Th,0.6245,0.8855
Td,7c,Kd,5h,8d,8h,2h,0.516,0.167
7c,4c,Ks,Th,3s,9s,8d,0.4685,0.112
8h,7h,5d,4h,9s,4s,8d,0.463,0.6955
As,Td,4s,6s,8c,5d,3c,0.627,0.159
Ks,Qs,7h,6s,9c,Js,5c,0.6335,0.169
6h,Kh,Td,6d,4d,Qh,As,0.5565,0.562
Ah,8d,3h,4h,Jd,4d,8s,0.591,0.7415
Qh,As,2d,7d,2h,Td,6d,0.6325,0.2975
Kc,8c,7d,3c,2h,9d,6c,0.582,0.2075
2s,7c,3c,7h,Ts,Kh,8h,0.3285,0.504
5s,6d,9c,Jc,Jd,7h,3h,0.4105,0.0605
Td,8s,2s,7s,6c,3d,8h,0.4705,0.7675
3h,4s,Ts,8c,8h,4h,7d,0.329,0.53
4d,6c,Ts,2s,Js,7c,9s,0.358,0.036
4s,7h,7s,4d,Qs,6s,3s,0.3685,0.682
Th,7s,9d,Ts,4d,8d,6h,0.4705,0.894
Td,9s,8h,2s,3d,5d,3c,0.5265,0.1365
6d,Qc,3c,Js,9h,3h,Ac,0.5355,0.3775
As,3c,2s,3d,Tc,9c,5c,0.567,0.5145
Jd,Ah,9h,3d,Kd,7d,3c,0.632,0.468
Qc,Js,2s,7c,7h,3d,9h,0.606,0.2845
9s,Ks,Kh,3s,7c,9h,Jd,0.5935,0.956
8s,6s,Js,5c,Ks,3h,5h,0.474,0.098
9s,Ks,9c,3d,Kd,6c,9d,0.592,0.9965
Jd,5c,6c,7h,7s,Kc,3d,0.4845,0.2145
4c,9c,9h,2s,9s,6c,7s,0.426,0.8715
5d,3c,4h,Kh,9h,6s,7c,0.3745,0.9395
Jc,8d,Ac,8c,6h,Kd,9s,0.5205,0.5735
Td,7s,3s,5c,Js,9s,Jc,0.4665,0.1625
Js,Kd,5d,4d,2h,8d,Kh,0.599,0.7875
5s,Ts,Th,5d,3d,3h,7h,0.4945,0.82
2d,Th,Ac,4s,8h,3d,Jh,0.401,0.142
3c,7c,6s,Jd,4s,Js,8c,0.377,0.0445
Td,7h,2s,9h,9s,3d,Jh,0.446,0.1755
8c,Ad,Kd,Qh,Qc,2h,7d,0.612,0.4745
7c,3d,7h,6d,Jc,6s,Ts,0.4005,0.592
Qh,7d,9s,8c,Tc,9c,Jd,0.5095,0.8615
2d,8s,6s,Js,Qc,4c,Ah,0.376,0.0925
5c,4h,9c,9d,5h,Jc,7d,0.3985,0.529
6s,9d,3s,6c,5s,Kd,3c,0.4655,0.6595
