hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
Qc,Th,7c,8s,2h,Qs,As,0.577,0.744
Ts,6h,5s,7s,2c,7c,Kd,0.467,0.1675
Td,Jh,3s,As,8c,4h,4c,0.568,0.3
3d,Ks,3c,7d,Qs,5c,As,0.5455,0.474
Ad,Tc,Js,As,8s,9d,Ks,0.6145,0.5085
2c,9h,As,7h,Ac,4h,Kc,0.3905,0.1925
5s,7c,Ad,Js,7s,Ah,3c,0.3745,0.687
2s,Td,8s,Kd,7d,2d,7c,0.413,0.52
4d,7c,Jd,5d,Ts,Tc,Qs,0.4195,0.133
6s,Qh,8s,7d,Kd,8h,Tc,0.517,0.313
Kc,4s,2h,9h,Qd,6s,8c,0.5415,0.1905
7h,9h,4s,2c,Ts,3h,5c,0.4915,0.0195
Kd,As,Td,3h,Tc,4h,2s,0.6445,0.4695
Ks,8c,9d,Qh,2s,Qs,8d,0.5685,0.755
4h,2h,6h,Jd,4s,7h,8d,0.3715,0.3095
Jd,7d,Ac,Ts,5d,4h,2d,0.511,0.11
Ah,5s,4c,6d,Jh,8c,8s,0.595,0.435
7d,2s,7c,4s,2d,Qs,Ts,0.358,0.8975
2d,8s,7d,4s,Qc,As,Jc,0.3585,0.1
7d,Qh,7s,8d,6s,3c,9s,0.5195,0.363
2c,Jc,Ks,Ah,Th,Js,7d,0.4785,0.5195
Qs,8h,7s,Kc,5c,Jh,4s,0.532,0.2325
9c,2h,2c,Jh,3h,Ac,Js,0.39,0.5725
9d,5c,6s,6d,Jc,7c,Ad,0.419,0.1685
4d,Jc,8s,9s,5h,3s,Jd,0.441,0.777
Th,6d,Ts,Qh,2c,8c,8d,0.4475,0.6765
Jh,Th,2h,4s,Kd,2s,Jc,0.579,0.725
9d,4d,5d,6h,Kh,6c,Td,0.447,0.159
8s,Ad,Ah,7s,Jd,5s,Ts,0.5995,0.816
Kd,Qd,9s,Ks,7d,5h,Jh,0.6215,0.847
Js,5h,6d,4s,7h,6c,6h,0.471,0.2035
Ks,3s,Qs,8h,2d,9d,Td,0.5525,0.138
2d,3s,7h,Jh,2c,8h,As,0.3295,0.4165
3c,3d,5d,Jc,Qc,8d,9s,0.5555,0.281
3c,Ah,Kc,5h,5c,Th,6s,0.532,0.461
Qc,8c,6d,3c,8h,Jd,7c,0.5405,0.7275
Qc,Td,Th,2s,2h,8h,7h,0.581,0.502
Jh,Qs,4h,Tc,Td,Ts,Ac,0.571,0.463
5c,3s,6d,Js,6s,6c,4c,0.3575,0.0295
5c,Kh,Qh,8d,Qd,4d,Js,0.5615,0.327
Kd,Qd,9c,8c,4d,8h,8s,0.629,0.505
6c,3c,Td,7h,5s,Ks,6d,0.396,0.5025
Qc,Ad,Kc,Jc,4s,6h,4c,0.648,0.461
Jh,Th,Jc,9s,3s,6d,5s,0.5635,0.7925
8h,6d,6h,7d,2c,3d,8d,0.419,0.898
Ad,3s,7c,Kc,Jd,Td,Qd,0.563,0.8905
As,7d,Qh,Tc,6c,5h,Ac,0.6,0.8025
8c,8d,Qh,5c,7c,Kc,Kd,0.6905,0.726
6h,3d,6c,Jd,2h,Ah,Jh,0.3885,0.674
6s,Th,8h,As,4s,Qh,Kh,0.469,0.2365
Td,7d,Ts,As,4s,Jc,4h,0.4985,0.5795
8s,Qh,Kc,9s,9h,6h,5h,0.519,0.35
4d,7c,8s,5h,4h,7s,2s,0.3805,0.707
6s,As,4s,Kh,8c,5h,Qc,0.601,0.364
2h,Jd,7d,5s,8d,Kd,Ah,0.448,0.193
Tc,Kh,4d,Qd,4c,Ah,7s,0.5885,0.487
6h,7d,5h,2s,Th,Qs,Qd,0.4095,0.056
8s,9h,Kd,3h,Ts,Ac,7c,0.475,0.2
Jd,Td,6s,7s,3d,Ad,2s,0.566,0.174
3c,8s,Ac,4h,6c,4c,9s,0.384,0.116
Ah,6s,Td,3d,5d,7s,5s,0.574,0.403
5s,5c,5d,8d,3d,2s,Jd,0.5915,0.614
7h,4d,3s,7d,Ac,9h,6s,0.3565,0.609
7c,6d,9s,Tc,4c,8s,8c,0.4185,0.904
Qc,Ah,3h,6d,7d,5d,4d,0.629,0.264
As,5c,2d,4c,Ad,2c,4d,0.585,0.7055
8h,Js,7s,Ks,4d,Ts,2s,0.5215,0.918
9c,Ts,Jd,7d,2c,Jh,8c,0.5395,0.963
7s,9c,Qh,As,Td,2s,Qd,0.442,0.254
4h,Ac,3h,5h,9h,Th,8h,0.5575,0.749
Qc,5d,2h,7h,8d,9d,Jd,0.4975,0.095
Kd,Qc,Jh,Kc,Ah,6c,Jd,0.611,0.7245
Ah,3s,3h,7d,Qs,6d,Qc,0.543,0.584
Jh,8d,3d,As,Ks,5h,6s,0.516,0.2305
Qh,2s,5s,5h,4d,Kh,Qs,0.4655,0.7115
7c,Ks,3h,Ts,Ad,7d,8d,0.5525,0.545
2s,Jc,8s,2d,5d,3d,6d,0.4405,0.177
9s,4h,Jh,Ks,Kd,8s,8c,0.3865,0.2175
Tc,Ks,3s,Ad,9c,2c,5h,0.634,0.272
2h,Js,7s,Ac,Kd,5s,9d,0.4225,0.2215
5s,Jc,5d,4c,Ac,8d,Qd,0.4705,0.516
2s,7c,Kc,Jd,Th,7s,4s,0.351,0.525
3s,Ad,As,6h,3c,Kc,6d,0.5555,0.854
3s,Tc,2d,7d,Th,Jd,Qh,0.4035,0.5915
8c,7s,9c,4h,5s,Kh,7d,0.452,0.6345
Ah,6s,6d,7c,3h,Kc,Tc,0.573,0.5235
8h,9h,2c,2h,Kc,4h,7c,0.5305,0.1315
Kd,8s,Js,2s,4d,2c,2h,0.5865,0.468
5c,4c,Qd,Qs,Kh,6h,9d,0.4305,0.0335
Kc,7d,5s,Js,4s,7s,Ks,0.546,0.378
3h,5c,Qs,Kd,Qh,6s,Ks,0.363,0.0625
4s,7d,4h,Qs,2s,8d,7h,0.3575,0.9255
4s,Ah,2c,Jh,Qd,3s,8c,0.6,0.3035
7s,7d,Qs,4c,4s,Qd,5d,0.6595,0.8015
Qh,2h,9h,Kc,7d,4d,Ac,0.53,0.32
7c,8d,Tc,Jd,4c,8c,Th,0.4745,0.6395
5h,5c,Kh,3c,Qs,6s,9c,0.5885,0.4945
4c,8c,5h,Th,Ks,9c,2d,0.422,0.084
2h,8c,4s,Jd,9h,3h,Ad,0.3575,0.0805
5c,Js,4d,8s,Kc,3h,Jh,0.4615,0.7595
2h,5s,7s,Ac,Kh,9c,2d,0.3595,0.4625
6d,2d,5s,7s,3d,6h,4d,0.3695,0.422
Tc,9h,Jh,9s,Kc,7s,Qc,0.492,0.928
7h,6h,2s,Qd,8d,8s,As,0.455,0.1025
7d,Qd,8s,2h,Qs,8c,Ad,0.549,0.75
2c,9s,7s,6d,Jh,Kh,7h,0.377,0.1685
5c,8s,6c,5d,7d,Jc,Qd,0.404,0.4285
6h,4h,Qc,6c,7s,Th,2d,0.405,0.5245
6d,Kh,Ah,2c,3s,Th,7h,0.5565,0.318
6h,Jd,Js,Qs,Ts,3s,6c,0.461,0.5745
5d,5s,3d,Ac,Td,Ts,8h,0.618,0.623
Ah,6s,Jh,8s,5s,Kh,8d,0.549,0.465
3c,Kd,6c,Tc,7d,5c,3s,0.5275,0.321
As,7s,7h,6h,Th,8h,Jd,0.5905,0.249
Td,7s,Qd,9h,2c,5s,5c,0.481,0.177
Tc,Ks,2s,Jh,6h,Kh,9d,0.584,0.8075
4s,6s,Qh,9c,3c,Qc,Jh,0.427,0.0555
8c,7h,5s,9h,Qc,Kh,6h,0.4515,0.9565
3c,Kh,8s,7s,6d,8c,5s,0.5005,0.1385
Ad,7d,8c,Td,2s,6s,Th,0.6085,0.44
Jd,5d,5h,Ts,Jc,Jh,9s,0.4975,0.9915
Kc,2h,Tc,4h,9d,Js,As,0.514,0.328
Qh,5d,3c,7h,5c,7c,As,0.5145,0.6635
2h,5d,8d,Qs,4d,Qh,3h,0.3345,0.0065
8s,Kc,9h,7h,Ac,Qc,Td,0.5585,0.322
2d,3s,Ah,6h,9c,Kc,6s,0.3195,0.102
2c,4h,4s,6d,6c,Ah,2d,0.3215,0.683
5d,As,8s,7h,Qs,4c,2d,0.5835,0.311
Ad,Tc,7h,Js,7s,3d,3s,0.6225,0.6
3d,Kd,3c,Ad,5h,7h,7c,0.541,0.548
Jd,3h,Ac,8d,6h,Ts,Td,0.481,0.226
6d,4c,Qh,2d,7s,Ad,4d,0.368,0.4875
Ad,As,Jc,4d,8d,Js,6c,0.859,0.8845
7s,9s,7h,6h,8h,4s,Ah,0.4945,0.2725
Jh,8s,Qh,Tc,9d,3s,Td,0.4845,0.96
9h,Tc,7s,Ac,As,9s,Qs,0.525,0.422
As,6c,Qh,Ac,Jh,5d,4d,0.5515,0.83
7h,3s,4h,6s,5c,8h,Td,0.385,0.929
Qd,4c,9d,Kd,5h,7c,3c,0.506,0.2145
Kc,5s,8s,5d,2d,Th,8c,0.5315,0.719
7c,2h,7s,Jd,6d,Jc,Tc,0.341,0.6985
9h,Jd,5c,7s,3s,4h,Tc,0.527,0.063
Ts,Qh,4d,6d,3h,9h,4h,0.56,0.236
Ac,Ks,5c,2c,Qc,Jc,8d,0.6635,1.0
8h,Jh,Jc,3h,Jd,7s,3s,0.543,0.9695
6d,9d,2s,7c,Ah,Ad,5d,0.4775,0.103
8s,6d,Jc,3c,4c,Qc,Ah,0.4215,0.0525
4s,Ah,8d,2d,Jd,7h,Ad,0.551,0.514
2c,Js,6s,3h,Qc,Kc,5h,0.465,0.2005
Kd,Jc,6d,2c,Ks,4d,Ts,0.6195,0.88
2h,Th,Jh,7c,3d,5c,3s,0.4385,0.131
Ts,5h,4h,Jd,Ad,7s,7d,0.457,0.2335
9s,8c,4h,8h,9c,Qh,Td,0.478,0.705
2d,7c,8d,Jc,Qc,9c,5d,0.3525,0.0955
2h,Th,Js,6d,Ks,8h,4s,0.4315,0.136
Ac,6d,Jh,Qc,Kh,5c,3s,0.579,0.329
7s,Js,Ad,9c,8h,3s,2s,0.545,0.1815
4d,Js,Jc,2c,Tc,Jh,Qd,0.483,0.861
7d,Kc,Jc,7h,6c,8h,6s,0.5425,0.5675
8c,2h,2c,Kd,8d,Kc,2s,0.3565,0.8925
Ah,4d,As,8c,Kd,9s,5d,0.559,0.8555
4c,Ts,Qh,Qd,8s,6s,Qs,0.4145,0.234
Qh,8h,4c,3s,As,5c,5h,0.5485,0.244
Ad,7c,8c,7h,Ks,6d,As,0.5945,0.918
8h,3h,2h,Td,2d,5s,6h,0.4015,0.037
6d,3c,9h,Ac,Ts,Qd,8d,0.3535,0.088
3h,8h,As,9d,Qc,6s,5d,0.3965,0.0985
Jc,5c,Kd,Jd,3s,7s,Qc,0.4875,0.614
As,3h,6c,Ts,8h,5d,Ah,0.572,0.832
6c,Jh,Qs,8s,Ad,5c,3s,0.5015,0.221
2d,Td,Jc,5c,Jd,Kc,4s,0.447,0.2235
7d,2d,Kc,Th,8s,Jd,9s,0.373,0.747
4d,Qd,5c,7d,Jd,2d,4s,0.529,0.984
4s,6c,4d,7h,2s,Kh,Ks,0.3745,0.693
2d,2c,Th,Js,9s,7s,Qs,0.47,0.085
Qs,5s,Td,7d,7c,6h,4d,0.495,0.19
9h,6c,Qh,4c,2s,9s,3c,0.455,0.709
8d,6d,Jd,6h,Th,Qh,3d,0.473,0.5035
6h,3s,3d,3c,2s,5h,7h,0.3565,0.9415
Th,4c,3c,4h,7c,Kd,Ac,0.4555,0.524
8d,2d,Qc,7h,Kc,Jh,6d,0.4085,0.1105
Kc,2c,5s,Qd,Ts,4s,8h,0.535,0.182
7h,3c,9s,Jh,8c,2d,Qs,0.354,0.1235
5s,9h,Qh,5c,6d,9d,7d,0.427,0.708
Js,Qh,3h,Qd,2h,5s,7d,0.5945,0.824
3c,4c,4h,8d,8h,Ac,Kh,0.4085,0.552
Ks,8h,8c,Jd,Qd,Ts,7c,0.5715,0.4505
9h,4d,Ad,Qs,Qd,7d,3c,0.4105,0.1495
7c,Jh,7s,9h,5s,7h,2s,0.513,0.8965
Qs,8d,Jc,9c,7h,3d,Tc,0.5445,0.9285
7s,Ad,Qc,9c,8d,2h,5d,0.5975,0.316
8s,5c,4h,8c,6h,3d,8h,0.3935,0.8935
Tc,6d,Ad,7s,7c,2c,Qh,0.4515,0.2535
Td,4d,9d,8d,Qs,Ad,2s,0.453,0.978
6s,5c,4d,3d,7h,7d,Kh,0.3645,0.9195
Ts,Kd,Tc,6s,4d,Jd,3s,0.6115,0.742
2h,9c,5d,7d,9d,3h,Js,0.395,0.6345
Kd,8s,2s,2d,Tc,9c,Ad,0.546,0.456
Ah,Qs,9h,5d,Js,9c,2d,0.6535,0.484
8c,9d,8h,Qd,Ac,7c,5s,0.4925,0.6525
6h,Jd,Qc,3h,Ks,2d,Tc,0.4765,0.2445
8c,Jc,Qc,Ac,7c,9c,Kd,0.5225,0.969
3h,Td,Ac,5s,7h,6h,8c,0.423,0.015
Tc,Th,Td,3d,Kc,3s,Qd,0.724,0.992
6h,4s,4d,Ac,4c,Ah,5d,0.364,0.894
9h,7d,Tc,3h,9s,3s,2s,0.44,0.6855
Qs,8c,Ad,Ah,2c,3h,Tc,0.5455,0.364
9h,7c,Th,5c,Qs,3d,8s,0.4505,0.1485
Jc,Js,6s,7c,Ks,8s,8d,0.7355,0.694
8h,8s,2s,Ah,Ad,8d,Kh,0.713,0.982
2d,3d,Jh,Ah,Th,Kd,Ad,0.3615,0.199
Kh,4c,6h,Td,Ah,5c,8c,0.5315,0.2995
9s,9c,Ks,Qc,5h,Jh,As,0.7275,0.4095
9d,6h,3s,Jh,4h,Qh,3c,0.456,0.1675
5s,6c,Ts,Ad,Jc,3h,4s,0.374,0.011
6d,Qc,2s,Jh,9s,7s,9d,0.484,0.2185
2d,8c,5h,Jh,5c,Ks,6d,0.3925,0.0975
Td,3d,5c,9c,Jh,4h,4c,0.4625,0.174
Ad,6c,9c,9s,9h,4h,Kh,0.5815,0.5695
3h,3c,4c,7d,4s,Ks,Ac,0.53,0.526
9s,8d,6s,Jh,6c,Qd,2s,0.4825,0.18
7d,Ts,Td,Jh,Kh,3h,5d,0.478,0.5945
3c,Kh,8d,2c,5s,Kd,9c,0.5085,0.801
2c,8s,3s,Jc,Kd,3d,4c,0.349,0.1165
4c,5h,9d,8d,3h,As,3d,0.352,0.0665
8d,6c,3h,9h,Kd,Qh,7s,0.44,0.099
6c,7h,2d,As,5d,Ah,3d,0.4195,0.0035
5s,6c,Qd,As,7h,Js,6d,0.3825,0.466
2c,2s,Ks,Qs,2d,5d,8c,0.5195,0.988
4d,6s,4s,Jc,Jd,5h,Qh,0.3955,0.5935
Ac,6c,Jh,3s,3d,Ad,Qs,0.6045,0.8365
Jd,5d,3d,Jh,Ah,4s,7h,0.4955,0.6705
3h,5c,7s,Ad,3s,9s,4s,0.342,0.232
Tc,7d,3d,2c,Kh,Jc,9c,0.478,0.169
Jh,2h,Kd,Js,5s,3c,4d,0.456,0.6985
Ac,9h,4h,Kh,2h,5s,Jc,0.6205,0.317
Kh,6h,4h,Ts,5c,4c,Ks,0.5545,0.832
5s,6h,3d,8c,5c,9h,7h,0.366,0.91
3c,4c,5c,Qd,5s,7s,Jh,0.4065,0.0325
Ts,As,Ad,2s,5d,Th,3h,0.6665,0.825
5h,3h,6h,7c,Th,4c,6s,0.38,0.9485
9h,Ts,Jd,6h,5h,6d,2h,0.5125,0.174
2d,3c,Qd,Kc,6c,Qs,5c,0.323,0.022
Ac,7d,Kc,9d,3s,6s,2d,0.6015,0.311
Kh,7h,5c,5s,Ah,Ac,Jd,0.559,0.618
4h,Td,7c,Jh,7d,2s,6c,0.4285,0.172
8d,2c,7d,Kh,6c,Qh,Td,0.37,0.1235
4s,3d,Ks,6h,2d,9d,Ts,0.334,0.0055
Ks,Qh,7c,4d,Kh,Ad,2c,0.6265,0.807
9h,2s,Kh,Jc,8s,Ac,Jh,0.3925,0.239
8d,6d,Kc,Td,2h,7h,Th,0.457,0.104
4h,6s,7c,6d,8d,7s,5s,0.38,0.734
7c,8d,6h,4d,6d,9s,Jh,0.461,0.0965
Th,Kd,3c,As,4s,8d,Jh,0.5865,0.3695
5d,2d,6s,9s,5c,Qc,Qs,0.3935,0.5615
As,Kc,3c,9s,Td,4s,Ad,0.634,0.907
9c,6d,9s,Kc,Kh,Ah,8c,0.4665,0.7205
Qh,7d,2d,Ah,4c,8c,Qc,0.503,0.727
9h,3s,7h,9d,4s,Tc,7d,0.385,0.6965
As,2c,Ac,3d,2d,3s,Jh,0.525,0.829
3s,9h,2h,4h,5c,7d,Ad,0.397,0.914
2s,3s,3d,Ad,Ac,9h,9d,0.3605,0.0045
7h,9d,8h,2h,6h,As,Qc,0.463,0.1135
Ad,Ts,6c,4s,Js,9c,2d,0.6425,0.3715
Ac,Td,2d,As,9c,Qd,4s,0.6215,0.884
9h,9d,Qh,7d,8s,As,5s,0.7375,0.6065
4s,Qs,3s,Ts,Jh,8h,Ac,0.51,0.2465
6d,2s,4h,9c,9h,Qh,Td,0.353,0.059
Jd,8h,6h,Kd,7c,6d,7h,0.5195,0.277
7s,3h,2d,Kc,7c,9c,Kh,0.35,0.655
5h,6d,Qc,6s,7c,5s,9h,0.403,0.718
6s,6d,3h,Ks,Tc,Jc,4c,0.6425,0.5405
4d,2h,6s,8c,Th,Ah,5h,0.309,0.013
6s,Tc,Jh,2d,7c,8s,4h,0.453,0.103
5h,8h,8c,4d,Js,9d,5c,0.467,0.907
Qc,Js,Qh,8h,4s,7s,Th,0.5715,0.79
9h,Jd,6s,7d,Jh,4c,8s,0.5435,0.652
5h,5s,7d,3d,7s,Tc,Th,0.611,0.0685
Ah,As,Js,2h,7c,9s,4h,0.8505,0.87
3s,Qc,5d,7c,Kd,4d,2h,0.5,0.1835
2d,As,5s,Js,5d,Td,4c,0.538,0.4545
8c,7s,6h,9h,3s,Qh,8s,0.463,0.565
Qd,Th,7h,Jc,3s,As,2c,0.5695,0.2935
4d,Kd,Js,2s,9h,Tc,Ks,0.554,0.66
7d,Ks,4s,2s,9c,4h,8s,0.5795,0.34
4h,5s,Kd,9c,Js,6h,4d,0.3955,0.4375
4d,8d,Jc,2d,Qh,8c,7s,0.406,0.65
2h,3d,Js,Ks,Qd,Kc,8d,0.333,0.106
8h,9c,4c,3s,Jc,3d,As,0.4815,0.18
3d,6h,4c,9c,3h,Kh,3c,0.3645,0.9115
5h,Kc,6c,Jh,3c,9d,2s,0.5325,0.2275
Tc,6s,9d,Qs,6d,Th,4h,0.473,0.909
7s,As,3h,4s,3c,Kc,9d,0.5835,0.4375
3h,Th,Jc,4d,6c,Qs,Js,0.472,0.23
2s,5c,3d,7h,Qs,5s,Ks,0.345,0.501
Kc,4h,3s,7c,8s,Qc,5s,0.519,0.1795
7s,Kd,Kh,Qs,6s,Jh,6d,0.5355,0.809
4d,Jd,5s,8h,4h,Jc,6c,0.481,0.772
6c,Ks,Kd,5s,Qd,7s,5h,0.5445,0.8285
8d,7h,Js,Kc,6s,6c,8h,0.469,0.5985
Qs,4h,Qc,5c,Kd,As,9h,0.4645,0.6785
Kd,2h,Kc,Qd,Ks,3s,5s,0.5005,0.904
6h,5s,Ts,Ad,Ac,9h,6s,0.3805,0.562
8c,Kc,9s,Qs,8h,2d,7s,0.587,0.596
4s,Ad,3c,9d,4c,Tc,Ac,0.544,0.613
Ts,6s,4s,9c,Ks,4d,Kd,0.501,0.2915
Ts,Qs,6c,3c,Ah,9d,7c,0.603,0.22
Td,Jc,Kc,2d,4d,6d,Js,0.5695,0.756
2c,Ah,7h,Kc,5h,4h,Jc,0.5305,0.288
7s,4c,3h,5c,2d,7d,8c,0.3835,0.6965
Kd,Ad,Ac,4c,8s,2c,Qc,0.656,0.526
7s,9d,6s,Ad,5s,Jh,3s,0.4985,0.071
3h,4s,Tc,4d,Qc,8h,5s,0.345,0.3985
8d,9s,Ks,Ah,6s,Js,Ts,0.4995,0.907
Ah,6s,Qd,As,5s,4c,Jh,0.5995,0.823
Ac,Jh,Ad,8h,7c,4s,3c,0.651,0.8565
4d,Js,9s,7c,4h,2h,Kc,0.4585,0.5935
9s,Th,2d,5d,Kd,9d,4c,0.5135,0.4445
Jc,Th,8d,Js,6s,Ks,Ts,0.557,0.585
2d,Th,2h,Js,Kd,8s,5s,0.4275,0.429
4s,Ts,9h,9d,2d,Jc,Qh,0.4805,0.2355
Tc,6c,6s,Js,Td,8h,2d,0.455,0.909
7d,Ad,6c,Ah,Td,4d,5s,0.6035,0.8185
Td,8d,Tc,Qd,Ad,4s,7s,0.52,0.656
5h,Kc,9h,7h,Td,5s,7d,0.524,0.6155
Jd,Th,9c,7s,Qs,7h,Ac,0.5605,0.3675
8h,Th,8c,9d,Tc,Js,5d,0.541,0.6325
8h,Ac,5s,2h,As,9d,Qh,0.618,0.852
Qh,Kc,5c,8s,4h,3c,8h,0.601,0.3535
Ac,Ad,Kc,3h,7h,8h,Ks,0.833,0.876
Ts,Ac,Kc,5d,7d,4h,4c,0.62,0.469
7c,Ts,3c,8h,Qh,Js,4d,0.465,0.192
9s,Jc,4d,5c,Jd,Kd,8c,0.5265,0.728
9c,3d,9s,7c,5s,7h,8d,0.419,0.639
7s,Qh,8c,As,4d,Ts,8h,0.5145,0.323
Tc,Ks,Qd,6s,Jc,Th,9d,0.604,0.9355
Ks,Tc,5d,4h,5h,5s,Jd,0.595,0.449
