hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
Td,3s,4d,3d,Ac,4s,9s,0.4254,0.5713
Ts,2s,2d,Kc,Tc,Th,Qs,0.4462,0.9848
5d,7c,9h,6h,8s,Th,4h,0.4054,0.5841
9d,7s,Tc,2c,6c,7d,Th,0.4668,0.7857
7s,4d,2d,3c,Ah,Jh,6d,0.3821,0.0054
9s,Kc,Qd,Ac,2c,As,Jc,0.5824,0.4322
5s,8h,As,6h,9d,3s,Ah,0.4029,0.1025
Qc,As,Ah,8h,Qs,9s,4c,0.646,0.9705
2s,Th,6h,Ac,2c,6c,9d,0.4192,0.5524
6h,Ah,5h,Qs,8c,7h,Jh,0.5938,1.0
Jh,3d,Qs,4c,7c,6d,Th,0.4583,0.12
9c,Js,5d,Ah,Kh,4c,8h,0.523,0.2269
As,7s,9d,2s,7d,9s,Kd,0.6086,0.7096
9s,7s,9d,3d,3h,8d,5s,0.4862,0.7524
4d,Qd,Tc,Ks,8s,4c,5c,0.52,0.4447
Ad,8s,7s,6c,5c,Th,2d,0.595,0.2986
Ks,3d,4h,Tc,6s,9d,8d,0.5191,0.1441
6c,Ts,Kc,3s,7c,Tc,5s,0.4531,0.7029
Kd,7d,Kc,Ac,2d,3h,Qs,0.5738,0.7428
2h,8h,Kc,2c,5d,Ah,5s,0.4032,0.5682
5c,As,6c,Qd,6s,3d,Ks,0.5835,0.4752
4c,Th,Jh,Qd,3s,3h,Ks,0.4284,0.1952
6h,9d,4d,4c,8h,Jc,7h,0.4548,0.0949
5c,4d,3d,8h,2c,Qd,8c,0.3866,0.0047
Ks,8c,9d,5s,4d,3c,5c,0.5642,0.321
6d,As,Js,5d,9d,7h,Tc,0.578,0.2268
Th,7d,Kc,Qh,Td,7s,2c,0.482,0.9012
Ks,9h,5h,Kc,Th,8c,Js,0.5778,0.8412
6h,5d,2c,7c,Jc,Qd,Th,0.3872,0.0532
8h,Ad,5d,7d,9d,4s,Kh,0.5966,0.3076
6d,8d,7d,Th,9c,Tc,6s,0.4621,0.907
3d,7s,5c,Th,Qh,2c,Jh,0.3617,0.0474
Kd,6c,4s,Jh,8h,2h,4d,0.5517,0.3186
6h,Td,Kd,Jd,7h,3c,7c,0.464,0.2637
4h,3h,5d,2h,6h,Kd,5h,0.3805,1.0
Jh,Js,8c,Jc,9h,8h,Ks,0.7844,0.9961
4h,6s,Tc,Kd,Ah,Jh,9c,0.3906,0.137
9c,4c,As,Ac,Kh,Kc,2c,0.4354,0.7992
8c,Js,Td,5d,3s,Jc,5h,0.5032,0.8323
9s,Kc,3c,6s,8h,Jd,Qd,0.5785,0.2645
5h,6d,Kd,Td,Js,As,Jc,0.3969,0.1991
Js,Th,6d,Jc,6h,3h,As,0.5454,0.7282
Td,Jd,5s,Ad,Jh,2c,Js,0.5765,0.9516
Js,6d,Qd,Kd,Qh,6h,9c,0.4783,0.598
6d,Ah,9h,7d,Td,Qh,8d,0.5776,0.7417
6c,Qc,Td,8s,9h,Jh,2h,0.5358,0.8833
Jd,5d,9h,Tc,4c,3d,2d,0.5012,0.0756
9s,9d,9h,2s,6s,9c,7c,0.7254,1.0
8d,3s,As,5c,3d,9h,9c,0.3778,0.577
Tc,Kc,Kd,Ts,9s,Qc,Qs,0.6138,0.6669
Js,Qc,6c,4c,Kd,3h,Td,0.5816,0.2525
4d,9s,7c,Kh,3h,Jc,Qh,0.4146,0.155
8h,Qd,8d,Jc,4h,9c,3s,0.5279,0.65
7s,Qs,As,Ac,5s,9c,2s,0.542,0.9644
4c,Kc,Th,4s,Jd,2c,8c,0.5484,0.5435
2d,2h,Kd,4c,Js,Jc,4d,0.507,0.2635
4h,8s,Qh,2h,Ac,3c,9h,0.3922,0.0692
9s,Ac,Ks,8h,Js,As,4h,0.6028,0.8373
4h,8s,3d,Kh,6s,Qc,Jc,0.4032,0.1003
2h,Ah,5s,As,9h,Qc,Tc,0.5671,0.8337
Kc,6h,5c,Kh,8c,2d,7s,0.5498,0.8355
3c,3s,9d,4h,5s,Ad,Th,0.5367,0.3929
3c,Kd,Ts,Js,Kh,Qc,2s,0.51,0.5302
Jc,2h,Kh,2d,Tc,Th,Ks,0.4457,0.4825
6d,Th,Jd,Ac,2c,Qh,5h,0.455,0.2391
Tc,Qd,5c,As,5d,Ac,Qh,0.5759,0.8001
8c,5d,Kd,2h,6c,9h,Kc,0.4156,0.1035
Kh,Jc,9d,Ah,5c,4h,8h,0.6013,0.3307
8h,9s,Qd,Ts,9h,Jc,8c,0.4784,0.4147
3h,2h,Jh,5c,8h,Jd,8s,0.3631,0.0386
4c,3c,4h,5h,3s,8h,Qc,0.391,0.8354
Tc,9c,Ah,Kh,4s,3d,2c,0.5361,0.1209
Ad,4s,Ks,9c,6h,3s,2h,0.5696,0.3105
9d,Qh,Ah,Qd,9c,8c,4s,0.5606,0.9424
8d,Td,6h,Tc,4c,Qh,2c,0.5157,0.7083
2h,Td,7h,5c,Ad,9h,Qd,0.4103,0.1481
3d,9s,8d,Td,4d,9h,2s,0.3967,0.6627
5h,Ac,Qc,5d,2d,Qh,2h,0.5661,0.7867
7c,6c,9c,8d,Td,6d,Kh,0.4568,0.8756
Th,7h,8d,6c,4h,5s,6h,0.5084,0.8996
9c,2s,8c,Js,9d,Th,5h,0.3895,0.3978
8h,4c,6d,Qh,7c,8d,3h,0.3878,0.6948
Ts,Jc,3s,Js,Jh,5h,4d,0.5411,0.9169
Ac,3c,5c,9d,4c,2d,8c,0.5845,0.999
Ac,9s,Tc,3d,7s,Qh,4d,0.5999,0.3463
Ks,6h,2h,5c,6s,As,Tc,0.5411,0.6678
8h,9c,7s,5c,Ts,7d,Tc,0.4826,0.2631
9c,7s,5h,Ah,3h,Ks,Js,0.4647,0.1567
4c,Kh,3d,5c,8c,4h,Ks,0.5256,0.9233
Jh,6d,5c,2h,5d,9s,Qs,0.476,0.2524
3d,6h,Ks,Jd,9c,Jc,2d,0.3585,0.0553
7s,Kc,3c,Kd,Qh,Td,2d,0.5534,0.7955
Jh,3c,Qd,2d,6c,9c,6h,0.4561,0.2469
Kd,4s,5c,6s,Ks,Qh,8d,0.5225,0.8223
Ac,5c,7s,Ks,Ad,9d,3d,0.5943,0.8196
7c,4h,Js,Tc,Kc,4c,Qh,0.3836,0.2452
4c,Jd,7s,2d,8c,7h,Jc,0.4543,0.8059
8h,2h,Jc,7c,4s,4c,6h,0.3934,0.0314
Qd,4c,Kh,Ah,8d,5d,Qs,0.4934,0.6526
Ts,Jh,9s,Qs,3d,5c,Qc,0.552,0.2883
Tc,6h,3h,Ah,3c,8h,Td,0.4554,0.6879
8c,Kd,Kh,2s,8h,2h,Ks,0.5594,0.9976
5d,6c,Kc,Jc,4c,Qh,5h,0.3954,0.5088
9c,2h,3h,Ac,Qd,4d,2s,0.3936,0.3431
Qs,3s,7c,5s,Ad,2c,7s,0.5063,0.3114
Jd,3s,6h,3h,9d,5h,Ks,0.4551,0.4093
5d,8c,3c,5s,3h,6d,8h,0.4135,0.8191
5c,9h,4h,Ah,Qh,Tc,Ks,0.4335,0.2445
7h,Qs,9d,8c,7c,6s,9c,0.5201,0.4194
7c,7h,9d,3c,Ts,Ac,8s,0.6596,0.4754
3s,Tc,Td,Jd,Jh,2h,5h,0.4219,0.7759
6h,8h,9c,Ac,2h,Jh,3d,0.4541,0.0961
Ad,2c,3s,Qc,3d,Qd,5h,0.5477,0.6118
6d,7d,5c,3h,Ah,8s,Jd,0.4549,0.0546
2h,Jh,2s,8h,Qh,4d,Qc,0.477,0.5981
4s,4c,Jd,7s,8s,Tc,6d,0.5765,0.2999
Jd,9c,9h,As,5h,Ac,Jh,0.5312,0.8071
Ac,5d,Th,4h,Qs,As,5h,0.5726,0.9034
Ac,7h,2c,3h,5d,Ad,9h,0.5895,0.6858
5d,Ad,Qc,Ts,Jd,Td,7d,0.5983,0.9715
Ac,Td,Ks,8c,Kd,5c,As,0.6309,0.8868
8c,6h,5s,Qc,5h,7h,4d,0.4347,0.9667
5s,3s,Kd,2c,3d,7d,8d,0.3997,0.2904
7h,9c,6h,Qd,9h,Jd,7d,0.4572,0.8444
3s,9s,4c,Ks,Jh,Kc,3d,0.4314,0.5836
9h,Kh,Js,Kc,Jc,6d,4d,0.6066,0.872
6d,7d,Jd,6c,4d,5c,6h,0.4486,0.9156
Jc,4h,As,6c,4d,4s,9h,0.4501,0.9728
Kh,7s,4s,Qh,8h,2d,Jd,0.5559,0.2477
4h,8s,Ks,5c,9d,4d,9s,0.3922,0.6013
3s,7d,Qc,5s,3c,6c,8h,0.3655,0.3815
Ah,Qs,Kd,5c,3d,2s,3c,0.6469,0.4813
Jd,6d,8s,8d,7c,4c,2s,0.5104,0.1641
6h,Jd,2s,7s,8d,4d,7h,0.4844,0.1662
Qs,4c,Ts,3h,9c,3c,As,0.4889,0.3498
2h,Ts,Kc,Qh,Jd,2c,Ah,0.4109,0.9355
2h,9s,Jc,5c,8h,5d,2s,0.3902,0.5745
8s,Ts,Kd,6s,As,Kh,Td,0.5232,0.7207
Ks,5c,8d,2s,Qc,2d,Td,0.5314,0.3042
8c,Qd,Ts,6s,2h,Jd,Jh,0.5385,0.2793
3s,Js,Kh,Qc,Jh,Qh,3h,0.4798,0.4134
Ts,Tc,4h,5h,7d,9s,9h,0.7481,0.803
3h,Ks,Qd,6h,8s,Td,6c,0.517,0.3202
8c,4d,6s,4s,Tc,Jh,3h,0.3906,0.517
9d,Jh,9s,Qd,9h,Qs,2s,0.5261,0.8953
9s,4c,7s,6c,Qh,Ad,Ac,0.4109,0.1744
4h,Qs,6s,Ah,Js,8s,Ad,0.4946,0.3196
7c,Qh,6d,5s,2h,6s,2s,0.5159,0.3134
6h,6s,As,9s,Kd,Tc,7d,0.6373,0.3795
2d,9d,4h,Tc,Kc,2c,5h,0.4226,0.3973
6c,2c,7d,Ks,9h,6d,Ah,0.3813,0.4265
9c,2h,8c,Qc,9h,Tc,6s,0.3917,0.3738
2c,Ad,Th,Jd,7h,Qd,2d,0.546,0.4202
6d,Qc,2c,Ac,Td,3s,Ts,0.5168,0.3335
Jd,7c,3d,8d,9c,5h,2h,0.4936,0.0861
7c,3h,Ts,Ad,Qh,As,8d,0.3726,0.1019
2s,Ah,8c,9s,7c,Td,4d,0.5435,0.1593
Td,6c,Js,8h,7c,8d,Kd,0.4615,0.2483
Ad,7s,5d,7c,6s,Kh,Qh,0.592,0.642
6s,2d,Tc,2s,6c,Ac,6h,0.3464,0.9861
9d,6s,4s,8h,4h,Ad,4d,0.4461,0.1776
2s,2h,Ah,7d,5h,5c,9d,0.5061,0.5064
Qc,Qd,Tc,5c,9d,7h,3d,0.7982,0.8357
Qd,Td,9s,Th,6c,Jc,8s,0.5939,0.9346
3c,Jh,Qd,7h,As,5s,2h,0.4634,0.2182
8d,4c,5d,Ah,5s,7s,3d,0.3994,0.032
Ad,7c,Ts,3h,9d,6d,Jh,0.5806,0.3216
7d,2h,Kd,4h,6s,9c,Jd,0.3482,0.0559
