hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
4s,8d,5c,6d,Ts,3h,3c,0.3995,0.0239
Qd,Jh,Kd,5c,Qh,3c,Td,0.5809,0.77
4c,3h,Ah,5h,6c,8h,8d,0.3569,0.0147
8c,Ks,Jc,Kh,5h,3c,Jh,0.5726,0.8203
Jc,Tc,Kh,3s,4h,8d,2h,0.5784,0.1739
9c,Js,8s,Qh,3s,Ts,2d,0.5334,0.96
4d,6s,Td,5c,Qd,Tc,5h,0.3762,0.2061
3s,Ac,Ad,Ks,Qc,Ts,Kc,0.5558,0.7036
6d,9d,4h,6s,2s,9h,6c,0.4783,0.9975
Ad,Kc,3h,3c,8c,9c,8h,0.6549,0.5788
8h,5h,Td,As,Qs,4d,6h,0.4481,0.1036
Td,5d,Qd,8s,Ad,3d,Kd,0.4683,0.957
7h,Qd,Qs,4s,Qc,As,8h,0.5196,0.9114
9c,Qc,Kc,Qd,7h,8h,Td,0.5776,0.7502
Jc,Td,As,Qh,8d,6s,7c,0.5537,0.2444
6s,8c,Qs,As,9c,2h,3d,0.434,0.0934
Ac,Qc,2s,5h,Qh,7s,Kd,0.668,0.8085
Ac,5d,8c,Jd,Kc,4h,Qd,0.5751,0.3292
8d,6h,2c,9d,8h,8c,9c,0.4319,0.8968
Ks,6d,Ac,Js,5h,2s,2h,0.5522,0.4492
Ad,Qs,Jd,7h,3c,2h,Jc,0.6412,0.5065
6c,9d,Ks,4d,Qh,Kh,Qs,0.4431,0.3722
As,Tc,3s,5c,Ks,6c,9c,0.6308,0.2939
4d,Qc,5s,Th,5h,6s,Jd,0.4844,0.258
Kd,Kh,5c,2d,8c,3d,5h,0.8214,0.857
Qh,4d,3h,5d,5c,Td,Kc,0.497,0.3446
9d,Td,Qc,Js,5s,7c,Ad,0.5396,0.2872
4c,5h,Ts,2h,3h,2s,7s,0.3842,0.0043
9s,9c,8h,2d,2c,5h,9h,0.7295,0.9984
Qc,8s,6s,3h,6h,4h,Th,0.5252,0.1243
3d,Ad,5s,2s,As,3s,Kd,0.5756,0.5153
3d,2h,Ah,2c,2d,2s,Js,0.3272,1.0
2c,4s,6h,5c,4d,Js,8d,0.3315,0.3149
7h,8d,Qs,7d,Kh,Js,6h,0.4497,0.5417
4d,5h,Qd,Kh,6d,2c,Jh,0.3876,0.0257
3c,4s,8c,Qc,2c,8s,Qh,0.3423,0.0244
4h,Js,5c,As,2c,9c,9h,0.4597,0.2007
5d,6s,Jh,4h,Th,6c,Ac,0.4056,0.5164
Ah,Kc,5c,Td,Js,Qh,Qc,0.6571,0.9676
7s,7c,Th,6c,9h,7d,3c,0.6751,0.8057
4c,Js,9s,8h,Qd,6s,9c,0.4616,0.218
7s,8s,5h,8d,3h,Ah,Ac,0.4818,0.785
4c,Kh,Kd,8d,7d,5d,5h,0.5262,0.477
8h,7s,6s,Kd,5s,4d,8d,0.453,0.8864
5s,8d,Jc,2s,2c,3h,4h,0.4144,0.0329
Kd,7d,9s,Jh,4s,4d,Jc,0.5754,0.4819
2h,Kc,8h,Ts,5d,6s,9d,0.5121,0.1496
4s,4c,4h,6c,6h,6s,Jh,0.5632,0.749
5h,As,Jh,6h,9c,Ah,8d,0.5749,0.7882
Jc,Ts,Qh,3c,9s,Ah,8h,0.5492,0.9526
6s,5d,Ac,2s,5c,4d,Qs,0.4046,0.4859
Ts,Qh,Jc,Td,7s,Ah,2s,0.5716,0.6692
5s,6c,9c,2s,8c,4c,4h,0.3996,0.0223
Th,Kh,7h,2d,Qd,2h,Ts,0.6136,0.7496
3d,9d,3s,Ts,Js,2d,5c,0.4359,0.5022
6d,7d,Jh,5c,Qs,8h,5s,0.4496,0.0648
7h,Ks,Td,4d,Qd,6c,4s,0.5487,0.3189
Tc,Qh,8c,Jc,Ad,Kh,9s,0.5734,0.9954
Kd,7d,Ks,9c,9d,5c,Ts,0.5672,0.8242
Jd,Qs,2c,9c,Kc,Kd,5s,0.5866,0.3609
8d,9d,4h,As,Td,8c,Ts,0.5105,0.7234
Kh,8c,2c,8d,5d,9c,Ks,0.5596,0.9634
8d,5h,3h,Jh,6c,6s,9h,0.4124,0.1024
4d,Ks,Jh,7d,4c,Ac,3c,0.5269,0.5272
5h,2h,5s,Qs,7h,Qd,Jh,0.3775,0.5925
Ad,9d,Qd,4s,Th,7d,Jc,0.6263,0.3603
5h,6h,Qc,8c,Ts,3s,9d,0.431,0.0589
8c,5d,Jd,5s,6d,Kc,3d,0.4164,0.4979
9d,Ks,9s,6d,Qd,Jh,Tc,0.5793,0.9267
9c,5h,4c,Kc,Ks,6s,4d,0.4309,0.1858
8d,Kd,Jc,Qs,9d,7c,Js,0.5924,0.3386
4h,9d,5c,8h,Ks,9c,4s,0.4061,0.9308
9h,Qh,Jh,8s,3d,Ts,6c,0.5713,0.9963
5s,2c,Qh,Js,Ad,8s,3s,0.3412,0.0225
9d,Kd,2s,2h,Qh,5h,6d,0.5936,0.3267
Js,4s,2h,6s,4h,Qc,Jc,0.4872,0.9327
9c,3s,5h,Qh,2h,8d,As,0.4044,0.0785
3h,6c,5h,3c,8c,2h,Jd,0.3628,0.4923
6c,8c,4h,Tc,5c,3h,5s,0.4571,0.0339
Ks,2c,Td,4c,2h,2d,Qd,0.5014,0.9318
8s,Jc,9s,4d,Jd,Kh,Kd,0.5114,0.7771
8c,4h,5s,4d,Ah,Qd,6d,0.4012,0.3931
Kh,9c,2h,Kd,7d,8c,4d,0.5804,0.804
5h,6d,3d,5d,Kh,9d,7h,0.3997,0.4974
9h,Td,3h,Qh,7s,Ts,6s,0.5187,0.7034
Th,Kh,8d,Qh,As,Ah,Ac,0.6258,0.6058
4c,8c,Qs,2c,7c,6c,Kc,0.4324,0.7849
Qh,8c,3h,3c,2c,Ts,4d,0.537,0.247
2d,9d,8c,7d,2s,3d,7h,0.4246,0.575
Kc,4d,2d,Kd,Ts,2c,Qs,0.5204,0.8174
Qh,4h,3s,4s,Qd,7s,Ad,0.5162,0.8762
2c,Qh,9c,9d,9h,8h,9s,0.4678,0.6162
As,8d,6s,Jc,9s,Kc,5c,0.5974,0.3244
7s,4s,9c,Jh,8h,Jd,2d,0.4178,0.1047
6s,7h,8c,6h,6d,8s,4h,0.4234,0.8848
6h,Qd,Ks,4c,Td,7h,Jd,0.5137,0.2255
4c,3d,Jc,2s,3s,2c,8d,0.3563,0.5806
4c,Js,2c,4s,7s,Qc,5s,0.4672,0.4985
3d,2c,Ac,2h,5d,9h,3c,0.3252,0.7497
9c,Qh,Ah,Th,3h,7s,Tc,0.5503,0.3668
Qc,Jc,9h,Kc,Js,5s,5c,0.605,0.7143
2c,8d,Ah,Kh,7d,4c,Th,0.3727,0.1015
4s,7h,Ac,Ah,5d,9d,5h,0.3794,0.1127
7s,3s,Kd,Qc,9s,5d,5c,0.3932,0.1014
2c,4c,Jh,4d,6h,Jc,Kh,0.3645,0.5415
7c,Js,Ks,Kd,3d,Jd,Tc,0.4915,0.7645
7d,3d,6c,5d,Qs,5c,2h,0.4019,0.0097
7d,Qs,Kh,4d,6h,2s,7s,0.5155,0.7352
6d,3d,Qd,7c,6h,9s,7h,0.3884,0.5637
Ah,6s,5h,8h,Ac,Jd,3s,0.5809,0.85
3d,As,6s,2h,4s,7s,Jd,0.5476,0.276
Jd,7h,8c,5s,4c,3s,Kc,0.4989,0.1374
Jc,2c,8s,2s,3d,4s,7c,0.4773,0.398
As,7d,Kd,Td,6s,Kh,Ks,0.5828,0.5961
Ts,Qd,7c,6h,5d,6c,6d,0.5625,0.3327
7d,Ts,Jh,Kh,Qh,2s,2c,0.4718,0.1823
6d,7h,4s,Qh,8s,Qs,5d,0.4203,0.9214
8s,Td,Qh,Ac,Kh,Kc,2d,0.497,0.3585
Ac,2s,6c,Jd,9s,5h,Td,0.5575,0.2804
6c,Td,4d,2h,8c,3d,Js,0.4547,0.0915
8s,4c,4s,Qh,Qs,7h,Ad,0.3931,0.5996
Ah,Th,3s,8s,4h,9c,7h,0.6364,0.3181
5h,9d,2d,Jh,Jc,Jd,Kd,0.4179,0.2442
8c,9s,Qc,Qh,Jh,5s,3s,0.4784,0.1978
Kc,4d,Qh,8d,3h,9h,9d,0.5208,0.3011
Kh,7s,As,2d,Qs,Ah,Qc,0.5498,0.7593
Kc,Jd,2h,6h,7h,Qh,7s,0.6002,0.2092
7h,5h,Kc,9h,Qc,2d,Kd,0.4416,0.1081
Td,4c,8c,Ac,6c,7d,6h,0.4345,0.1325
3c,9h,Ac,Kc,Qc,Ad,5c,0.3998,0.6774
6c,9s,4s,3c,As,Ac,2s,0.4401,0.0426
4d,6h,3c,Js,Ts,As,Ac,0.3862,0.05
5s,4s,4c,7s,Kh,6h,Ah,0.4053,0.3932
Qs,Ts,Th,Jh,9d,2d,Qd,0.5981,0.6292
5d,7s,Qc,4h,8h,Kh,Qd,0.4113,0.1008
Ac,Js,Ks,3c,3d,2c,4c,0.64,0.4494
7s,Qc,4c,8d,3h,7h,5h,0.5131,0.5579
4h,Th,Tc,Kc,Jd,7c,4d,0.4677,0.839
2d,7c,6d,8d,6c,4d,3h,0.3529,0.005
6c,8h,8d,Ac,9d,Ah,2h,0.437,0.7045
Qs,6s,4d,Ts,Qc,5h,Jd,0.5345,0.7996
Kh,5c,3h,Qd,Js,8d,2h,0.53,0.2258
Ks,7d,Qs,4c,2h,5s,As,0.5374,0.2241
9h,Ac,6c,7d,3c,6h,4s,0.6005,0.3503
Ah,2h,Tc,6c,5s,Ts,Qh,0.5788,0.4402
Kd,Tc,6s,Jc,Ac,Ks,9s,0.5966,0.7567
3c,7h,Js,Ks,Ts,7c,2h,0.3635,0.4832
Qh,2c,Td,Ah,Kh,2d,3s,0.4637,0.4469
6d,Ks,Ah,5d,4h,3c,5s,0.5402,0.3096
2h,4d,4c,Qc,3c,3h,4s,0.3342,0.9721
8s,Jc,8d,9h,5d,Ac,Ks,0.513,0.5865
4d,Qc,Qh,4h,4s,Jc,9c,0.494,0.9925
2d,9s,6h,8c,3d,9h,Ks,0.3818,0.7047
Tc,6d,7c,5s,Kd,Ac,6h,0.461,0.5225
3h,Qh,5s,7c,Kh,9d,6c,0.5087,0.1548
Ad,6h,Qs,6s,5h,7h,2c,0.5869,0.6346
2d,8c,Jh,3h,9s,7d,Ad,0.37,0.1099
5c,Td,Qs,8s,9s,6c,5h,0.4423,0.3245
4h,6h,6c,5h,Ad,Ac,7c,0.4104,0.5998
Jh,Kh,3s,Tc,7d,7s,6s,0.6222,0.3193
6h,Ks,As,2s,7c,Ad,3h,0.54,0.4331
9h,9s,Ts,7d,2s,Qc,Ks,0.7206,0.5575
Ks,Jh,Kh,4s,Th,7s,Ah,0.6092,0.7568
4c,7s,Qc,6c,2c,Jd,Kh,0.3882,0.0517
7c,Qd,3c,2c,Ad,4c,Ac,0.5142,0.6736
3d,6d,8s,4c,8d,Qc,Kh,0.3893,0.0551
Kh,6h,Ks,Qs,5h,2s,Qd,0.5625,0.7961
9d,8c,Qc,2c,Td,6d,Ah,0.4827,0.194
2c,5d,Qh,4s,5s,5c,8h,0.3399,0.9343
2s,2h,8d,Qc,8s,8c,7d,0.5091,0.6577
Tc,6d,4s,Qc,9d,8s,9h,0.4607,0.1766
6s,As,9c,5h,Qc,Qs,6d,0.5956,0.7366
Qd,2h,2c,3h,9h,Qh,Th,0.4664,0.6718
2h,7c,4h,9s,8s,2d,8c,0.3451,0.5643
Js,Ac,Kc,9d,9c,Ts,8c,0.6353,0.435
Ad,Ac,5d,2h,4s,Qs,4c,0.8529,0.879
3d,8s,9h,7c,Kh,8h,3c,0.3721,0.8356
Ah,Tc,9d,8d,7s,5d,Kh,0.6155,0.2325
8s,4c,Js,9s,4s,5s,Qd,0.3957,0.8349
8h,Ts,6h,2s,5s,4c,2c,0.4985,0.0435
Jh,4d,5d,7d,Ah,Qh,Js,0.4592,0.6393
6c,9d,Qd,7d,4d,Jc,Td,0.4454,0.8582
2h,Ac,Js,5s,2s,Ah,Qc,0.55,0.9024
7s,6c,9h,6h,2d,3h,Qc,0.4204,0.5793
Qh,Tc,4d,Kh,6d,8h,Th,0.573,0.7217
3c,Kd,Jd,5c,Td,5s,Ah,0.5138,0.4587
4h,5c,9c,3h,2s,3c,8c,0.3802,0.0043
2h,9h,3s,7h,Td,Kd,6h,0.4264,0.0868
4h,8s,Ad,Jc,Kd,8d,Qh,0.3895,0.3586
6s,6h,5s,Jd,Kh,7d,9c,0.6319,0.4703
5c,Ac,9c,4c,3s,8d,2d,0.6021,0.982
8c,3d,4s,Qs,Kd,Qh,Jd,0.3805,0.1835
5s,3h,Ad,Jd,5c,Kd,Tc,0.3545,0.3271
Qc,Qh,2d,8h,Ad,Tc,Kd,0.8022,0.6564
3d,9h,3h,As,8h,Jd,2s,0.3953,0.5503
7c,Kd,Td,6h,Jc,4c,7d,0.5514,0.6463
Qd,2h,6s,9d,3d,5d,Th,0.4696,0.1035
As,Kc,Qs,7s,8s,Ts,Ad,0.6522,0.9979
Td,Qs,6d,4s,Qh,5c,5d,0.5716,0.8126
7c,Qd,8s,6d,5d,6h,7s,0.5155,0.4547
3h,8c,4s,8d,9c,2d,Qh,0.3826,0.6159
7c,Ac,9s,2h,Ts,3h,Jd,0.6107,0.3108
5s,7s,6h,2d,Ac,Ah,Jd,0.4395,0.0565
3s,Ks,6d,8c,8d,8s,4s,0.5478,0.418
7d,3d,Th,9d,9s,7h,6s,0.4,0.5618
Tc,Kd,3d,4s,6h,4h,7s,0.5903,0.2633
6s,As,2s,8d,7h,8s,Js,0.6029,0.9703
8c,Kd,4s,9h,9s,Ah,3h,0.5633,0.4355
5s,7s,3d,Kc,Ah,Th,2d,0.4354,0.0435
Kh,Js,Jd,7s,2d,5c,4d,0.6025,0.7793
Qd,7c,4s,Kc,Ad,3h,Ac,0.5133,0.4502
Qc,Kh,Kc,Th,2c,Qd,2s,0.6129,0.8615
6h,Jd,Jc,7d,8s,2d,9h,0.4763,0.6649
9d,4d,Ad,Th,Ks,Ac,4c,0.4329,0.585
7h,Jh,6c,9s,2d,Jd,Qc,0.5183,0.7447
3d,5d,As,Qh,Ah,3c,Kc,0.3935,0.5765
8d,5c,Qh,5h,4h,Ad,7h,0.4193,0.3058
6c,Ks,6s,9c,8h,5h,Tc,0.5351,0.4432
9s,8s,8c,Ks,Qd,5s,4h,0.5088,0.6565
9d,7c,5d,8c,3c,5h,Jh,0.4605,0.1103
Ac,6s,Js,Td,7h,3d,7c,0.5769,0.439
Qs,4h,2s,Th,Qd,4s,Kd,0.5,0.9148
Tc,Qd,Jh,Jc,9h,5d,2s,0.5672,0.2895
Td,5s,Js,3s,Ts,2h,9h,0.4454,0.6626
3s,Th,Td,Qh,9h,2s,8h,0.4249,0.5561
4h,2h,Qd,7s,Jc,Kc,2s,0.3657,0.4147
Kh,Kc,8s,8c,4c,Ah,3h,0.8273,0.7651
Qd,3h,Jh,As,4h,8s,Ts,0.4829,0.2215
Ks,3c,Td,8h,Ts,Qd,Qs,0.5127,0.5916
5c,8d,6h,Qs,Ks,Ts,3h,0.4124,0.0944
2d,5c,Kc,Qh,2c,2h,Jh,0.3441,0.8851
4h,8c,8s,3s,Jh,7c,8h,0.3947,0.9372
Th,Kc,5s,Js,Ac,4h,4s,0.592,0.4173
3d,6d,5h,Td,Ac,Qd,4d,0.4024,0.9724
5s,3d,6c,Kd,4s,9s,2c,0.3656,0.9948
Ac,4h,3d,9d,8c,As,8s,0.581,0.8419
Td,3c,5c,4d,9s,Jd,7s,0.4247,0.0668
6d,Tc,3s,5s,Js,9s,Ks,0.4601,0.3563
7d,5h,2d,Ts,6s,3c,2s,0.403,0.0098
7d,Kd,Js,8h,8c,2s,9s,0.5734,0.2973
9c,Jd,Ts,Ad,9d,Qs,7d,0.5452,0.5474
7d,7s,5c,7h,6d,Js,Jc,0.6596,0.9832
6s,7h,8c,As,2h,2s,Qc,0.4273,0.0665
Ks,Kd,Jd,Tc,Ah,8c,7d,0.8212,0.6349
4d,9h,5d,6c,2d,9c,Qs,0.4093,0.7056
Td,As,Tc,6s,8s,9h,Qc,0.613,0.5081
2c,2d,As,7d,Ac,6s,5c,0.5,0.4584
Qh,3s,6d,5d,2h,Kh,5h,0.4811,0.2947
3h,2d,5d,9d,9s,As,Qh,0.3204,0.0154
5s,7h,5d,2c,8c,4d,Ts,0.4022,0.5939
6d,7c,4d,2h,2s,Js,Ks,0.4315,0.0485
8d,As,9h,Kc,Ad,Qc,Qd,0.5958,0.8516
9d,Ks,7c,Td,Ah,Kh,8s,0.5788,0.7511
6h,9s,5h,8s,9d,3c,9h,0.4436,0.9435
9c,Qd,2h,Th,Td,Js,Kc,0.5512,0.951
