0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
9,0,0,0,1,4,1,0,0,0,2,0,1,0,0,10,0,0,0,1,14,1,0,0,0,14,0,0,1,0,13,0,0,1,0,0.4325,0.2565
14,0,0,1,0,5,0,1,0,0,6,1,0,0,0,8,0,0,0,1,12,0,0,1,0,3,0,1,0,0,11,0,1,0,0,0.579,0.31
3,0,0,0,1,4,0,0,1,0,7,1,0,0,0,6,1,0,0,0,14,1,0,0,0,3,0,0,1,0,5,1,0,0,0,0.368,0.6
3,0,1,0,0,7,1,0,0,0,9,0,1,0,0,4,0,0,1,0,5,0,1,0,0,11,0,0,1,0,11,0,0,0,1,0.3515,0.0485
3,0,0,0,1,2,0,0,0,1,10,1,0,0,0,14,0,0,0,1,14,0,0,1,0,3,1,0,0,0,12,0,1,0,0,0.347,0.546
14,0,0,1,0,6,0,0,0,1,9,0,0,0,1,13,0,0,0,1,14,0,1,0,0,6,0,0,1,0,9,0,1,0,0,0.5535,0.883
3,0,0,1,0,5,0,0,1,0,2,0,0,1,0,3,1,0,0,0,7,0,1,0,0,14,0,1,0,0,4,1,0,0,0,0.3915,0.926
7,1,0,0,0,7,0,0,0,1,9,0,0,0,1,11,0,1,0,0,5,0,1,0,0,10,0,0,0,1,10,1,0,0,0,0.629,0.5945
11,1,0,0,0,4,0,0,1,0,7,0,1,0,0,2,0,1,0,0,5,0,0,1,0,2,0,0,0,1,6,0,0,0,1,0.4395,0.117
13,1,0,0,0,4,1,0,0,0,6,0,1,0,0,3,0,0,0,1,10,0,0,1,0,14,0,0,0,1,7,1,0,0,0,0.532,0.308
13,0,1,0,0,5,0,0,0,1,12,0,0,1,0,8,0,0,1,0,9,0,0,1,0,5,0,0,1,0,13,1,0,0,0,0.5225,0.615
12,1,0,0,0,12,0,1,0,0,2,0,0,0,1,13,0,1,0,0,6,0,0,1,0,10,0,1,0,0,11,0,0,1,0,0.806,0.777
13,0,0,0,1,2,0,0,1,0,3,0,0,1,0,14,1,0,0,0,14,0,0,1,0,3,1,0,0,0,10,0,1,0,0,0.482,0.6195
7,0,0,1,0,9,1,0,0,0,12,0,0,1,0,2,1,0,0,0,5,0,0,1,0,10,0,1,0,0,12,1,0,0,0,0.4945,0.193
8,0,1,0,0,7,0,1,0,0,12,0,0,0,1,4,1,0,0,0,9,1,0,0,0,11,0,0,0,1,5,0,0,1,0,0.476,0.124
4,1,0,0,0,2,0,0,1,0,7,0,0,1,0,4,0,1,0,0,9,0,1,0,0,7,1,0,0,0,9,1,0,0,0,0.3545,0.017
7,0,1,0,0,11,1,0,0,0,3,1,0,0,0,10,0,1,0,0,13,0,1,0,0,9,0,1,0,0,14,1,0,0,0,0.5235,0.24
11,0,0,0,1,5,0,0,1,0,7,1,0,0,0,6,0,0,1,0,3,0,0,1,0,13,0,1,0,0,7,0,0,0,1,0.4605,0.2255
13,0,0,0,1,14,0,0,1,0,2,0,0,1,0,3,0,1,0,0,11,0,0,0,1,14,0,0,0,1,7,1,0,0,0,0.6565,0.902
13,0,0,1,0,4,0,0,1,0,14,0,0,0,1,6,0,0,1,0,12,1,0,0,0,11,0,0,1,0,5,0,1,0,0,0.5305,0.3145
9,0,1,0,0,2,0,0,1,0,10,0,0,1,0,6,1,0,0,0,5,1,0,0,0,2,0,1,0,0,14,1,0,0,0,0.369,0.4175
6,0,1,0,0,9,0,0,1,0,5,0,0,0,1,12,0,1,0,0,6,0,0,1,0,14,0,1,0,0,11,0,0,1,0,0.4345,0.542
8,0,0,0,1,5,0,0,1,0,2,0,0,1,0,4,0,0,1,0,3,0,0,0,1,13,1,0,0,0,12,0,0,1,0,0.4155,0.043
11,0,0,1,0,10,1,0,0,0,6,0,0,1,0,13,1,0,0,0,7,0,0,0,1,13,0,1,0,0,8,0,1,0,0,0.555,0.232
13,1,0,0,0,10,0,1,0,0,8,0,1,0,0,3,1,0,0,0,6,0,0,0,1,14,0,1,0,0,8,1,0,0,0,0.6125,0.4895
4,1,0,0,0,3,0,0,1,0,8,0,0,1,0,6,0,0,0,1,4,0,1,0,0,3,0,0,0,1,5,1,0,0,0,0.3475,0.5745
9,1,0,0,0,7,0,0,0,1,14,0,0,0,1,12,1,0,0,0,3,0,1,0,0,4,0,1,0,0,4,1,0,0,0,0.4695,0.146
8,0,0,1,0,6,0,1,0,0,4,1,0,0,0,3,0,0,0,1,7,0,0,1,0,11,0,1,0,0,6,0,0,0,1,0.465,0.483
4,0,0,1,0,2,1,0,0,0,7,0,0,0,1,3,0,1,0,0,2,0,0,0,1,14,0,0,1,0,6,0,0,0,1,0.3485,0.364
8,0,1,0,0,3,1,0,0,0,14,1,0,0,0,2,1,0,0,0,2,0,0,1,0,2,0,1,0,0,11,0,1,0,0,0.378,0.1945
14,0,0,1,0,9,0,1,0,0,2,0,0,1,0,8,0,0,1,0,10,1,0,0,0,13,0,0,1,0,2,0,0,0,1,0.6445,0.4165
6,0,1,0,0,13,1,0,0,0,3,0,0,0,1,6,0,0,0,1,7,0,0,1,0,5,0,0,0,1,9,0,0,1,0,0.5585,0.42
13,1,0,0,0,12,0,0,1,0,10,0,0,0,1,12,1,0,0,0,11,1,0,0,0,6,0,0,1,0,5,0,0,1,0,0.6125,0.858
6,0,0,1,0,14,0,0,1,0,5,0,0,0,1,11,0,1,0,0,10,0,0,1,0,12,1,0,0,0,4,0,0,1,0,0.6285,0.3005
7,0,1,0,0,4,0,0,0,1,10,1,0,0,0,10,0,1,0,0,3,0,0,0,1,11,0,0,0,1,6,0,0,1,0,0.384,0.0615
11,1,0,0,0,14,0,0,1,0,10,0,1,0,0,14,0,1,0,0,9,0,1,0,0,7,0,1,0,0,6,0,0,0,1,0.636,0.442
4,0,1,0,0,10,0,1,0,0,14,1,0,0,0,13,0,0,0,1,7,0,0,0,1,3,0,0,0,1,5,0,0,0,1,0.4595,0.081
2,0,0,0,1,3,0,0,1,0,13,0,1,0,0,4,0,0,1,0,8,0,1,0,0,10,0,0,0,1,4,0,1,0,0,0.309,0.0635
11,0,1,0,0,13,0,0,0,1,12,0,1,0,0,7,0,1,0,0,14,0,0,0,1,2,0,0,1,0,14,1,0,0,0,0.5905,0.512
7,0,0,1,0,11,0,0,0,1,5,0,0,1,0,4,1,0,0,0,9,0,1,0,0,8,0,0,1,0,14,0,0,0,1,0.4855,0.1605
7,1,0,0,0,5,1,0,0,0,10,0,1,0,0,12,1,0,0,0,12,0,1,0,0,13,1,0,0,0,4,0,0,0,1,0.4335,0.102
2,0,0,0,1,10,0,0,0,1,9,1,0,0,0,7,1,0,0,0,13,0,1,0,0,12,0,1,0,0,4,0,0,0,1,0.446,0.1755
11,0,0,0,1,3,1,0,0,0,5,1,0,0,0,13,0,0,1,0,8,0,1,0,0,4,0,0,0,1,7,1,0,0,0,0.468,0.0925
10,0,0,0,1,9,1,0,0,0,5,1,0,0,0,2,0,1,0,0,7,0,1,0,0,14,0,0,0,1,10,0,0,1,0,0.53,0.782
5,1,0,0,0,11,0,0,0,1,6,0,1,0,0,13,0,1,0,0,8,0,0,0,1,2,0,0,1,0,7,1,0,0,0,0.465,0.1025
5,0,1,0,0,9,0,1,0,0,2,0,0,1,0,3,1,0,0,0,14,0,1,0,0,14,0,0,0,1,12,0,1,0,0,0.448,0.126
12,0,0,0,1,10,0,0,0,1,13,0,0,1,0,10,0,0,1,0,4,0,1,0,0,9,1,0,0,0,3,0,0,0,1,0.5905,0.7845
2,0,0,0,1,11,0,0,1,0,4,1,0,0,0,10,0,0,0,1,7,0,0,1,0,7,1,0,0,0,5,0,1,0,0,0.461,0.121
8,0,0,0,1,8,1,0,0,0,14,0,0,1,0,3,0,0,0,1,4,0,0,1,0,2,1,0,0,0,4,0,0,0,1,0.6725,0.605
13,0,0,0,1,13,0,1,0,0,7,1,0,0,0,10,1,0,0,0,9,0,1,0,0,4,1,0,0,0,11,0,1,0,0,0.814,0.69
6,0,1,0,0,6,1,0,0,0,13,0,0,0,1,12,0,0,1,0,4,0,1,0,0,12,1,0,0,0,3,1,0,0,0,0.6375,0.7525
9,1,0,0,0,4,0,1,0,0,6,0,1,0,0,14,0,0,1,0,7,0,0,1,0,13,1,0,0,0,8,1,0,0,0,0.4155,0.0925
5,0,0,1,0,4,1,0,0,0,13,0,0,0,1,12,0,0,0,1,10,0,0,1,0,13,1,0,0,0,14,0,0,1,0,0.3955,0.2015
3,0,0,0,1,3,0,0,1,0,12,1,0,0,0,13,0,0,0,1,2,1,0,0,0,2,0,1,0,0,14,0,1,0,0,0.549,0.502
4,1,0,0,0,7,0,0,0,1,12,0,1,0,0,3,0,1,0,0,5,0,0,0,1,5,1,0,0,0,13,0,0,1,0,0.3845,0.0615
6,0,0,1,0,12,0,0,0,1,3,0,0,0,1,13,1,0,0,0,7,0,1,0,0,11,1,0,0,0,7,1,0,0,0,0.498,0.3145
3,0,0,0,1,6,1,0,0,0,9,0,0,1,0,8,0,0,1,0,14,0,1,0,0,3,0,0,1,0,12,0,0,1,0,0.3575,0.232
9,1,0,0,0,4,0,0,0,1,6,1,0,0,0,7,1,0,0,0,12,1,0,0,0,13,0,0,0,1,5,0,0,1,0,0.4225,0.069
12,0,0,0,1,10,0,1,0,0,7,0,0,0,1,8,1,0,0,0,2,0,1,0,0,12,1,0,0,0,14,1,0,0,0,0.577,0.744
10,1,0,0,0,6,0,1,0,0,5,1,0,0,0,7,1,0,0,0,2,0,0,0,1,7,0,0,0,1,13,0,0,1,0,0.467,0.1675
10,0,0,1,0,11,0,1,0,0,3,1,0,0,0,14,1,0,0,0,8,0,0,0,1,4,0,1,0,0,4,0,0,0,1,0.568,0.3
