0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,0,0,1,0,3,1,0,0,0,4,0,0,1,0,3,0,0,1,0,14,0,0,0,1,4,1,0,0,0,9,1,0,0,0,0.4254,0.5713
10,1,0,0,0,2,1,0,0,0,2,0,0,1,0,13,0,0,0,1,10,0,0,0,1,10,0,1,0,0,12,1,0,0,0,0.4462,0.9848
5,0,0,1,0,7,0,0,0,1,9,0,1,0,0,6,0,1,0,0,8,1,0,0,0,10,0,1,0,0,4,0,1,0,0,0.4054,0.5841
9,0,0,1,0,7,1,0,0,0,10,0,0,0,1,2,0,0,0,1,6,0,0,0,1,7,0,0,1,0,10,0,1,0,0,0.4668,0.7857
7,1,0,0,0,4,0,0,1,0,2,0,0,1,0,3,0,0,0,1,14,0,1,0,0,11,0,1,0,0,6,0,0,1,0,0.3821,0.0054
9,1,0,0,0,13,0,0,0,1,12,0,0,1,0,14,0,0,0,1,2,0,0,0,1,14,1,0,0,0,11,0,0,0,1,0.5824,0.4322
5,1,0,0,0,8,0,1,0,0,14,1,0,0,0,6,0,1,0,0,9,0,0,1,0,3,1,0,0,0,14,0,1,0,0,0.4029,0.1025
12,0,0,0,1,14,1,0,0,0,14,0,1,0,0,8,0,1,0,0,12,1,0,0,0,9,1,0,0,0,4,0,0,0,1,0.646,0.9705
2,1,0,0,0,10,0,1,0,0,6,0,1,0,0,14,0,0,0,1,2,0,0,0,1,6,0,0,0,1,9,0,0,1,0,0.4192,0.5524
6,0,1,0,0,14,0,1,0,0,5,0,1,0,0,12,1,0,0,0,8,0,0,0,1,7,0,1,0,0,11,0,1,0,0,0.5938,1.0
11,0,1,0,0,3,0,0,1,0,12,1,0,0,0,4,0,0,0,1,7,0,0,0,1,6,0,0,1,0,10,0,1,0,0,0.4583,0.12
9,0,0,0,1,11,1,0,0,0,5,0,0,1,0,14,0,1,0,0,13,0,1,0,0,4,0,0,0,1,8,0,1,0,0,0.523,0.2269
14,1,0,0,0,7,1,0,0,0,9,0,0,1,0,2,1,0,0,0,7,0,0,1,0,9,1,0,0,0,13,0,0,1,0,0.6086,0.7096
9,1,0,0,0,7,1,0,0,0,9,0,0,1,0,3,0,0,1,0,3,0,1,0,0,8,0,0,1,0,5,1,0,0,0,0.4862,0.7524
4,0,0,1,0,12,0,0,1,0,10,0,0,0,1,13,1,0,0,0,8,1,0,0,0,4,0,0,0,1,5,0,0,0,1,0.52,0.4447
14,0,0,1,0,8,1,0,0,0,7,1,0,0,0,6,0,0,0,1,5,0,0,0,1,10,0,1,0,0,2,0,0,1,0,0.595,0.2986
13,1,0,0,0,3,0,0,1,0,4,0,1,0,0,10,0,0,0,1,6,1,0,0,0,9,0,0,1,0,8,0,0,1,0,0.5191,0.1441
6,0,0,0,1,10,1,0,0,0,13,0,0,0,1,3,1,0,0,0,7,0,0,0,1,10,0,0,0,1,5,1,0,0,0,0.4531,0.7029
13,0,0,1,0,7,0,0,1,0,13,0,0,0,1,14,0,0,0,1,2,0,0,1,0,3,0,1,0,0,12,1,0,0,0,0.5738,0.7428
2,0,1,0,0,8,0,1,0,0,13,0,0,0,1,2,0,0,0,1,5,0,0,1,0,14,0,1,0,0,5,1,0,0,0,0.4032,0.5682
5,0,0,0,1,14,1,0,0,0,6,0,0,0,1,12,0,0,1,0,6,1,0,0,0,3,0,0,1,0,13,1,0,0,0,0.5835,0.4752
4,0,0,0,1,10,0,1,0,0,11,0,1,0,0,12,0,0,1,0,3,1,0,0,0,3,0,1,0,0,13,1,0,0,0,0.4284,0.1952
6,0,1,0,0,9,0,0,1,0,4,0,0,1,0,4,0,0,0,1,8,0,1,0,0,11,0,0,0,1,7,0,1,0,0,0.4548,0.0949
5,0,0,0,1,4,0,0,1,0,3,0,0,1,0,8,0,1,0,0,2,0,0,0,1,12,0,0,1,0,8,0,0,0,1,0.3866,0.0047
13,1,0,0,0,8,0,0,0,1,9,0,0,1,0,5,1,0,0,0,4,0,0,1,0,3,0,0,0,1,5,0,0,0,1,0.5642,0.321
6,0,0,1,0,14,1,0,0,0,11,1,0,0,0,5,0,0,1,0,9,0,0,1,0,7,0,1,0,0,10,0,0,0,1,0.578,0.2268
10,0,1,0,0,7,0,0,1,0,13,0,0,0,1,12,0,1,0,0,10,0,0,1,0,7,1,0,0,0,2,0,0,0,1,0.482,0.9012
13,1,0,0,0,9,0,1,0,0,5,0,1,0,0,13,0,0,0,1,10,0,1,0,0,8,0,0,0,1,11,1,0,0,0,0.5778,0.8412
6,0,1,0,0,5,0,0,1,0,2,0,0,0,1,7,0,0,0,1,11,0,0,0,1,12,0,0,1,0,10,0,1,0,0,0.3872,0.0532
8,0,1,0,0,14,0,0,1,0,5,0,0,1,0,7,0,0,1,0,9,0,0,1,0,4,1,0,0,0,13,0,1,0,0,0.5966,0.3076
6,0,0,1,0,8,0,0,1,0,7,0,0,1,0,10,0,1,0,0,9,0,0,0,1,10,0,0,0,1,6,1,0,0,0,0.4621,0.907
3,0,0,1,0,7,1,0,0,0,5,0,0,0,1,10,0,1,0,0,12,0,1,0,0,2,0,0,0,1,11,0,1,0,0,0.3617,0.0474
13,0,0,1,0,6,0,0,0,1,4,1,0,0,0,11,0,1,0,0,8,0,1,0,0,2,0,1,0,0,4,0,0,1,0,0.5517,0.3186
6,0,1,0,0,10,0,0,1,0,13,0,0,1,0,11,0,0,1,0,7,0,1,0,0,3,0,0,0,1,7,0,0,0,1,0.464,0.2637
4,0,1,0,0,3,0,1,0,0,5,0,0,1,0,2,0,1,0,0,6,0,1,0,0,13,0,0,1,0,5,0,1,0,0,0.3805,1.0
11,0,1,0,0,11,1,0,0,0,8,0,0,0,1,11,0,0,0,1,9,0,1,0,0,8,0,1,0,0,13,1,0,0,0,0.7844,0.9961
4,0,1,0,0,6,1,0,0,0,10,0,0,0,1,13,0,0,1,0,14,0,1,0,0,11,0,1,0,0,9,0,0,0,1,0.3906,0.137
9,0,0,0,1,4,0,0,0,1,14,1,0,0,0,14,0,0,0,1,13,0,1,0,0,13,0,0,0,1,2,0,0,0,1,0.4354,0.7992
8,0,0,0,1,11,1,0,0,0,10,0,0,1,0,5,0,0,1,0,3,1,0,0,0,11,0,0,0,1,5,0,1,0,0,0.5032,0.8323
9,1,0,0,0,13,0,0,0,1,3,0,0,0,1,6,1,0,0,0,8,0,1,0,0,11,0,0,1,0,12,0,0,1,0,0.5785,0.2645
5,0,1,0,0,6,0,0,1,0,13,0,0,1,0,10,0,0,1,0,11,1,0,0,0,14,1,0,0,0,11,0,0,0,1,0.3969,0.1991
11,1,0,0,0,10,0,1,0,0,6,0,0,1,0,11,0,0,0,1,6,0,1,0,0,3,0,1,0,0,14,1,0,0,0,0.5454,0.7282
10,0,0,1,0,11,0,0,1,0,5,1,0,0,0,14,0,0,1,0,11,0,1,0,0,2,0,0,0,1,11,1,0,0,0,0.5765,0.9516
11,1,0,0,0,6,0,0,1,0,12,0,0,1,0,13,0,0,1,0,12,0,1,0,0,6,0,1,0,0,9,0,0,0,1,0.4783,0.598
6,0,0,1,0,14,0,1,0,0,9,0,1,0,0,7,0,0,1,0,10,0,0,1,0,12,0,1,0,0,8,0,0,1,0,0.5776,0.7417
6,0,0,0,1,12,0,0,0,1,10,0,0,1,0,8,1,0,0,0,9,0,1,0,0,11,0,1,0,0,2,0,1,0,0,0.5358,0.8833
11,0,0,1,0,5,0,0,1,0,9,0,1,0,0,10,0,0,0,1,4,0,0,0,1,3,0,0,1,0,2,0,0,1,0,0.5012,0.0756
9,1,0,0,0,9,0,0,1,0,9,0,1,0,0,2,1,0,0,0,6,1,0,0,0,9,0,0,0,1,7,0,0,0,1,0.7254,1.0
8,0,0,1,0,3,1,0,0,0,14,1,0,0,0,5,0,0,0,1,3,0,0,1,0,9,0,1,0,0,9,0,0,0,1,0.3778,0.577
10,0,0,0,1,13,0,0,0,1,13,0,0,1,0,10,1,0,0,0,9,1,0,0,0,12,0,0,0,1,12,1,0,0,0,0.6138,0.6669
11,1,0,0,0,12,0,0,0,1,6,0,0,0,1,4,0,0,0,1,13,0,0,1,0,3,0,1,0,0,10,0,0,1,0,0.5816,0.2525
4,0,0,1,0,9,1,0,0,0,7,0,0,0,1,13,0,1,0,0,3,0,1,0,0,11,0,0,0,1,12,0,1,0,0,0.4146,0.155
8,0,1,0,0,12,0,0,1,0,8,0,0,1,0,11,0,0,0,1,4,0,1,0,0,9,0,0,0,1,3,1,0,0,0,0.5279,0.65
7,1,0,0,0,12,1,0,0,0,14,1,0,0,0,14,0,0,0,1,5,1,0,0,0,9,0,0,0,1,2,1,0,0,0,0.542,0.9644
4,0,0,0,1,13,0,0,0,1,10,0,1,0,0,4,1,0,0,0,11,0,0,1,0,2,0,0,0,1,8,0,0,0,1,0.5484,0.5435
2,0,0,1,0,2,0,1,0,0,13,0,0,1,0,4,0,0,0,1,11,1,0,0,0,11,0,0,0,1,4,0,0,1,0,0.507,0.2635
4,0,1,0,0,8,1,0,0,0,12,0,1,0,0,2,0,1,0,0,14,0,0,0,1,3,0,0,0,1,9,0,1,0,0,0.3922,0.0692
9,1,0,0,0,14,0,0,0,1,13,1,0,0,0,8,0,1,0,0,11,1,0,0,0,14,1,0,0,0,4,0,1,0,0,0.6028,0.8373
4,0,1,0,0,8,1,0,0,0,3,0,0,1,0,13,0,1,0,0,6,1,0,0,0,12,0,0,0,1,11,0,0,0,1,0.4032,0.1003
2,0,1,0,0,14,0,1,0,0,5,1,0,0,0,14,1,0,0,0,9,0,1,0,0,12,0,0,0,1,10,0,0,0,1,0.5671,0.8337
13,0,0,0,1,6,0,1,0,0,5,0,0,0,1,13,0,1,0,0,8,0,0,0,1,2,0,0,1,0,7,1,0,0,0,0.5498,0.8355
3,0,0,0,1,3,1,0,0,0,9,0,0,1,0,4,0,1,0,0,5,1,0,0,0,14,0,0,1,0,10,0,1,0,0,0.5367,0.3929
3,0,0,0,1,13,0,0,1,0,10,1,0,0,0,11,1,0,0,0,13,0,1,0,0,12,0,0,0,1,2,1,0,0,0,0.51,0.5302
11,0,0,0,1,2,0,1,0,0,13,0,1,0,0,2,0,0,1,0,10,0,0,0,1,10,0,1,0,0,13,1,0,0,0,0.4457,0.4825
6,0,0,1,0,10,0,1,0,0,11,0,0,1,0,14,0,0,0,1,2,0,0,0,1,12,0,1,0,0,5,0,1,0,0,0.455,0.2391
10,0,0,0,1,12,0,0,1,0,5,0,0,0,1,14,1,0,0,0,5,0,0,1,0,14,0,0,0,1,12,0,1,0,0,0.5759,0.8001
8,0,0,0,1,5,0,0,1,0,13,0,0,1,0,2,0,1,0,0,6,0,0,0,1,9,0,1,0,0,13,0,0,0,1,0.4156,0.1035
13,0,1,0,0,11,0,0,0,1,9,0,0,1,0,14,0,1,0,0,5,0,0,0,1,4,0,1,0,0,8,0,1,0,0,0.6013,0.3307
8,0,1,0,0,9,1,0,0,0,12,0,0,1,0,10,1,0,0,0,9,0,1,0,0,11,0,0,0,1,8,0,0,0,1,0.4784,0.4147
3,0,1,0,0,2,0,1,0,0,11,0,1,0,0,5,0,0,0,1,8,0,1,0,0,11,0,0,1,0,8,1,0,0,0,0.3631,0.0386
4,0,0,0,1,3,0,0,0,1,4,0,1,0,0,5,0,1,0,0,3,1,0,0,0,8,0,1,0,0,12,0,0,0,1,0.391,0.8354
10,0,0,0,1,9,0,0,0,1,14,0,1,0,0,13,0,1,0,0,4,1,0,0,0,3,0,0,1,0,2,0,0,0,1,0.5361,0.1209
14,0,0,1,0,4,1,0,0,0,13,1,0,0,0,9,0,0,0,1,6,0,1,0,0,3,1,0,0,0,2,0,1,0,0,0.5696,0.3105
9,0,0,1,0,12,0,1,0,0,14,0,1,0,0,12,0,0,1,0,9,0,0,0,1,8,0,0,0,1,4,1,0,0,0,0.5606,0.9424
8,0,0,1,0,10,0,0,1,0,6,0,1,0,0,10,0,0,0,1,4,0,0,0,1,12,0,1,0,0,2,0,0,0,1,0.5157,0.7083
2,0,1,0,0,10,0,0,1,0,7,0,1,0,0,5,0,0,0,1,14,0,0,1,0,9,0,1,0,0,12,0,0,1,0,0.4103,0.1481
3,0,0,1,0,9,1,0,0,0,8,0,0,1,0,10,0,0,1,0,4,0,0,1,0,9,0,1,0,0,2,1,0,0,0,0.3967,0.6627
5,0,1,0,0,14,0,0,0,1,12,0,0,0,1,5,0,0,1,0,2,0,0,1,0,12,0,1,0,0,2,0,1,0,0,0.5661,0.7867
7,0,0,0,1,6,0,0,0,1,9,0,0,0,1,8,0,0,1,0,10,0,0,1,0,6,0,0,1,0,13,0,1,0,0,0.4568,0.8756
10,0,1,0,0,7,0,1,0,0,8,0,0,1,0,6,0,0,0,1,4,0,1,0,0,5,1,0,0,0,6,0,1,0,0,0.5084,0.8996
9,0,0,0,1,2,1,0,0,0,8,0,0,0,1,11,1,0,0,0,9,0,0,1,0,10,0,1,0,0,5,0,1,0,0,0.3895,0.3978
8,0,1,0,0,4,0,0,0,1,6,0,0,1,0,12,0,1,0,0,7,0,0,0,1,8,0,0,1,0,3,0,1,0,0,0.3878,0.6948
10,1,0,0,0,11,0,0,0,1,3,1,0,0,0,11,1,0,0,0,11,0,1,0,0,5,0,1,0,0,4,0,0,1,0,0.5411,0.9169
14,0,0,0,1,3,0,0,0,1,5,0,0,0,1,9,0,0,1,0,4,0,0,0,1,2,0,0,1,0,8,0,0,0,1,0.5845,0.999
14,0,0,0,1,9,1,0,0,0,10,0,0,0,1,3,0,0,1,0,7,1,0,0,0,12,0,1,0,0,4,0,0,1,0,0.5999,0.3463
13,1,0,0,0,6,0,1,0,0,2,0,1,0,0,5,0,0,0,1,6,1,0,0,0,14,1,0,0,0,10,0,0,0,1,0.5411,0.6678
8,0,1,0,0,9,0,0,0,1,7,1,0,0,0,5,0,0,0,1,10,1,0,0,0,7,0,0,1,0,10,0,0,0,1,0.4826,0.2631
9,0,0,0,1,7,1,0,0,0,5,0,1,0,0,14,0,1,0,0,3,0,1,0,0,13,1,0,0,0,11,1,0,0,0,0.4647,0.1567
4,0,0,0,1,13,0,1,0,0,3,0,0,1,0,5,0,0,0,1,8,0,0,0,1,4,0,1,0,0,13,1,0,0,0,0.5256,0.9233
11,0,1,0,0,6,0,0,1,0,5,0,0,0,1,2,0,1,0,0,5,0,0,1,0,9,1,0,0,0,12,1,0,0,0,0.476,0.2524
3,0,0,1,0,6,0,1,0,0,13,1,0,0,0,11,0,0,1,0,9,0,0,0,1,11,0,0,0,1,2,0,0,1,0,0.3585,0.0553
7,1,0,0,0,13,0,0,0,1,3,0,0,0,1,13,0,0,1,0,12,0,1,0,0,10,0,0,1,0,2,0,0,1,0,0.5534,0.7955
11,0,1,0,0,3,0,0,0,1,12,0,0,1,0,2,0,0,1,0,6,0,0,0,1,9,0,0,0,1,6,0,1,0,0,0.4561,0.2469
13,0,0,1,0,4,1,0,0,0,5,0,0,0,1,6,1,0,0,0,13,1,0,0,0,12,0,1,0,0,8,0,0,1,0,0.5225,0.8223
14,0,0,0,1,5,0,0,0,1,7,1,0,0,0,13,1,0,0,0,14,0,0,1,0,9,0,0,1,0,3,0,0,1,0,0.5943,0.8196
7,0,0,0,1,4,0,1,0,0,11,1,0,0,0,10,0,0,0,1,13,0,0,0,1,4,0,0,0,1,12,0,1,0,0,0.3836,0.2452
4,0,0,0,1,11,0,0,1,0,7,1,0,0,0,2,0,0,1,0,8,0,0,0,1,7,0,1,0,0,11,0,0,0,1,0.4543,0.8059
8,0,1,0,0,2,0,1,0,0,11,0,0,0,1,7,0,0,0,1,4,1,0,0,0,4,0,0,0,1,6,0,1,0,0,0.3934,0.0314
12,0,0,1,0,4,0,0,0,1,13,0,1,0,0,14,0,1,0,0,8,0,0,1,0,5,0,0,1,0,12,1,0,0,0,0.4934,0.6526
10,1,0,0,0,11,0,1,0,0,9,1,0,0,0,12,1,0,0,0,3,0,0,1,0,5,0,0,0,1,12,0,0,0,1,0.552,0.2883
10,0,0,0,1,6,0,1,0,0,3,0,1,0,0,14,0,1,0,0,3,0,0,0,1,8,0,1,0,0,10,0,0,1,0,0.4554,0.6879
8,0,0,0,1,13,0,0,1,0,13,0,1,0,0,2,1,0,0,0,8,0,1,0,0,2,0,1,0,0,13,1,0,0,0,0.5594,0.9976
5,0,0,1,0,6,0,0,0,1,13,0,0,0,1,11,0,0,0,1,4,0,0,0,1,12,0,1,0,0,5,0,1,0,0,0.3954,0.5088
9,0,0,0,1,2,0,1,0,0,3,0,1,0,0,14,0,0,0,1,12,0,0,1,0,4,0,0,1,0,2,1,0,0,0,0.3936,0.3431
12,1,0,0,0,3,1,0,0,0,7,0,0,0,1,5,1,0,0,0,14,0,0,1,0,2,0,0,0,1,7,1,0,0,0,0.5063,0.3114
